시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3090000,211,1971,1,미용업(일반),19710527,샛별미용실,29.05,02 9933947,19710527,,19710527,쌍문제1동,20190320,서울특별시 강북구로 전출처리됨,일반미용업,20120503,0,0,0,4,0,N,,3090000-211-1971-00001,내국인,,서울특별시 도봉구 삼양로 590 (쌍문동),서울특별시 도봉구 쌍문동  507번지 4호  
3090000,211,1974,1,미용업(일반),19740510,장미용실,13.69,9024674,20030318,,19740510,쌍문제2동,,,일반미용업,20120503,0,,,2,,N,,3090000-211-1974-00001,내국인,,서울특별시 도봉구 도봉로121길 19 (쌍문동),서울특별시 도봉구 쌍문동  81번지 283호  
3090000,211,1977,1,미용업(일반),19770128,자기연출미용실,18,02 9916085,19990127,,20040429,쌍문제1동,,,일반미용업,20120503,0,0,0,3,0,N,0,3090000-211-1977-00001,내국인,,서울특별시 도봉구 삼양로154길 33 (쌍문동),서울특별시 도봉구 쌍문동  493번지 5호  
3090000,211,1977,2,미용업(일반),19770928,세나,18.36,02 9928457,19770928,,19770928,창제2동,,,일반미용업,20120503,0,,,2,,N,,3090000-211-1977-00002,내국인,,서울특별시 도봉구 덕릉로57길 22 (창동),서울특별시 도봉구 창동  581번지 27호  
3090000,211,1978,1,미용업(일반),19780522,형제,49.5,02 9542434,19780522,,19780522,도봉제2동,,,일반미용업,20120503,0,,,5,,N,,3090000-211-1978-00001,내국인,,서울특별시 도봉구 마들로 731 (도봉동),서울특별시 도봉구 도봉동  626번지 90호  
3090000,211,1980,1,미용업(일반),19800626,공주,18,02 9025679,19800626,,19800626,쌍문제2동,,,일반미용업,20120503,0,0,0,2,0,N,0,3090000-211-1980-00001,내국인,,서울특별시 도봉구 도봉로133길 40-32 (쌍문동),서울특별시 도봉구 쌍문동  22번지 1호  
3090000,211,1980,2,미용업(일반),19801014,초원,12.58,02   9040224,19801014,,20020427,창제1동,,,일반미용업,20120503,0,,,2,,N,,3090000-211-1980-00002,내국인,,서울특별시 도봉구 도봉로110나길 57 (창동),서울특별시 도봉구 창동  659번지 24호  
3090000,211,1982,1,미용업(일반),19821029,효제,21,02 9087128,19961202,,19961202,쌍문제3동,,,일반미용업,20120503,0,,,3,,N,,3090000-211-1982-00001,내국인,,서울특별시 도봉구 도봉로113길 20 (쌍문동),서울특별시 도봉구 쌍문동  94번지 29호  
3090000,211,1983,1,미용업(일반),19831019,영,18.36,234924384,19831019,,19831019,도봉제2동,,,일반미용업,20120503,0,,,2,,N,,3090000-211-1983-00001,내국인,,서울특별시 도봉구 도봉로154길 19 (도봉동),서울특별시 도봉구 도봉동  623번지 75호  
3090000,211,1983,2,미용업(일반),19831118,조희미용타운,20.88,02 9541820,19831118,,19831118,도봉제1동,,,일반미용업,20120503,0,,,3,,N,,3090000-211-1983-00002,내국인,,서울특별시 도봉구 도당로27길 67 (도봉동),서울특별시 도봉구 도봉동  610번지 41호  
3090000,211,1983,3,미용업(일반),19830322,지향헤어콜렉션,45,234933592,19980224,,19980224,도봉제1동,,,일반미용업,20120503,0,,,6,,N,,3090000-211-1983-00003,내국인,,서울특별시 도봉구 도당로27길 59 (도봉동),서울특별시 도봉구 도봉동  610번지 35호  
3090000,211,1983,4,미용업(일반),19830128,라라,23.21,02998 5559,19830128,,20130416,창제2동,,,일반미용업,20120503,0,0,0,2,0,N,0,3090000-211-1983-00004,내국인,,서울특별시 도봉구 덕릉로57길 30 1층 2호 (창동),서울특별시 도봉구 창동  581번지 28호  1층 2호
3090000,211,1983,5,미용업(일반),19831130,KANG  HAIR (강경남),120,02 9022345,19980918,,20180302,쌍문제1동,,,일반미용업,20120503,0,0,0,5,0,N,0,3090000-211-1983-00005,내국인,,서울특별시 도봉구 삼양로144길 19 2층 (쌍문동),서울특별시 도봉구 쌍문동  422번지 36호  2층
3090000,211,1983,5,미용업(일반),19831130,KANG  HAIR (강경남),111.2,02 9022345,19980918,,20180302,쌍문제1동,,,일반미용업,20120503,0,0,0,5,0,N,0,3090000-211-1983-00005,내국인,,서울특별시 도봉구 삼양로144길 19 2층 (쌍문동),서울특별시 도봉구 쌍문동  422번지 36호  2층
3090000,211,1983,5,미용업(일반),19831130,KANG  HAIR (강경남),120,02 9022345,19980918,,19980918,쌍문제1동,,,일반미용업,20120503,0,0,0,5,0,N,0,3090000-211-1983-00005,내국인,,서울특별시 도봉구 삼양로144길 19 (쌍문동),서울특별시 도봉구 쌍문동  422번지 36호  
3090000,211,1983,5,미용업(일반),19831130,KANG  HAIR (강경남),111.2,02 9022345,19980918,,19980918,쌍문제1동,,,일반미용업,20120503,0,0,0,5,0,N,0,3090000-211-1983-00005,내국인,,서울특별시 도봉구 삼양로144길 19 (쌍문동),서울특별시 도봉구 쌍문동  422번지 36호  
3090000,211,1984,1,미용업(일반),19841207,송민 헤어,23.1,234923697,19841207,,20031007,도봉제1동,,,일반미용업,20120620,0,,,3,,N,,3090000-211-1984-00001,내국인,,서울특별시 도봉구 도봉로169나길 40 (도봉동),서울특별시 도봉구 도봉동  597번지 20호  
3090000,211,1984,2,미용업(일반),19841114,유리,27.3,02955 6501,19841114,,19841114,방학제2동,,,일반미용업,20120503,0,0,0,3,0,N,0,3090000-211-1984-00002,내국인,,서울특별시 도봉구 도당로13길 34 (방학동),서울특별시 도봉구 방학동  634번지 0호  
3090000,211,1984,3,미용업(일반),19841124,은영미용실,16.28,02 9051899,20121112,,19841124,쌍문제3동,,,일반미용업,20120503,0,,,3,,N,,3090000-211-1984-00003,내국인,,서울특별시 도봉구 도봉로113길 11 (쌍문동),서울특별시 도봉구 쌍문동  96번지 20호  
3090000,211,1984,4,미용업(일반),19840511,칠칠,29.7,02956 7735,20030116,,19840511,도봉제2동,,,일반미용업,20120503,0,,,3,,N,,3090000-211-1984-00004,내국인,,서울특별시 도봉구 마들로 730 (도봉동),서울특별시 도봉구 도봉동  631번지 23호  
3090000,211,1985,1,미용업(일반),19850827,아가폐,18.28,02 9039564,19850827,,19850827,방학제2동,,,일반미용업,20120503,0,0,0,4,0,N,0,3090000-211-1985-00001,내국인,,서울특별시 도봉구 도당로13길 64 (방학동),서울특별시 도봉구 방학동  620번지 5호  
3090000,211,1986,1,미용업(일반),19861027,진선미,33,02 9053489,19861027,,20021116,쌍문제4동,,,일반미용업,20120503,0,,,2,,N,,3090000-211-1986-00001,내국인,,서울특별시 도봉구 노해로 213 (쌍문동),서울특별시 도봉구 쌍문동  137번지 237호  
3090000,211,1986,2,미용업(일반),19860702,윤미용실,23.1,02 9926552,19970602,,20100129,창제1동,,,일반미용업,20120503,0,,,3,,N,,3090000-211-1986-00002,내국인,,서울특별시 도봉구 도봉로112길 33 (창동(지상1층)),서울특별시 도봉구 창동  657번지 35호  (지상1층)
3090000,211,1986,3,미용업(일반),19860129,조이헤어클리닉,49.5,234911053,19860129,,20080410,방학제3동,20170724,건강악화,일반미용업,20120503,0,0,0,4,0,N,0,3090000-211-1986-00003,내국인,,서울특별시 도봉구 방학로 210 상가동 106호 (방학동신동아타워),서울특별시 도봉구 방학동  736번지 상가 신동아타워-106
