시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3050000,211,1977,1,미용업(일반),19771015,경희,22.77,02 9677348,19771015,,19970419,회기동,,,일반미용업,,0,,,3,,N,,3050000-211-1977-00001,내국인,,서울특별시 동대문구 회기로12길 6 1층 (회기동),서울특별시 동대문구 회기동  60번지 136호  1층
3050000,211,1977,2,미용업(일반),19771015,자매,14.51,222131129,19771015,,19970217,전농제1동,,,일반미용업,,0,,,3,,N,,3050000-211-1977-00002,내국인,,서울특별시 동대문구 사가정로9길 17 1층 (전농동),서울특별시 동대문구 전농동  357번지 1호  1층
3050000,211,1977,3,미용업(일반),19771015,윤희,8.28,02 9634070,19771015,,20060804,휘경제1동,,,일반미용업,,0,,,2,,N,,3050000-211-1977-00003,내국인,,서울특별시 동대문구 외대역동로5길 38-10 1층 (휘경동),서울특별시 동대문구 휘경동  168번지 109호  
3050000,211,1977,4,미용업(일반),19771015,머리공간,22,232950878,20070412,,20101221,회기동,20171020,사업부진,일반미용업,20070629,0,,,3,,N,,3050000-211-1977-00004,내국인,,서울특별시 동대문구 이문로1길 29 1층 (회기동),서울특별시 동대문구 회기동  65번지 71호  
3050000,211,1977,5,미용업(일반),19771015,금강헤어라인,19.8,02 9672202,19771015,,20070423,제기동,20190513,영업부진,일반미용업,,0,,,3,,N,,3050000-211-1977-00005,내국인,,서울특별시 동대문구 홍릉로3길 22 1층 (제기동),서울특별시 동대문구 제기동  479번지  
3050000,211,1977,6,미용업(일반),19771015,일신,13,222451135,19771015,,20160906,답십리제1동,20180516,개인사정,일반미용업,,0,,,3,,N,,3050000-211-1977-00006,내국인,,서울특별시 동대문구 답십리로48길 108 지상1층 (답십리동),서울특별시 동대문구 답십리동  21번지 67호  
3050000,211,1977,7,미용업(일반),19771015,지니헤어,29,02 9663182,20090821,,20081023,청량리동,,,일반미용업,20090908,0,,,3,,N,,3050000-211-1977-00007,내국인,,서울특별시 동대문구 홍릉로 51-1 1층 (청량리동),서울특별시 동대문구 청량리동  604번지  
3050000,211,1977,8,미용업(일반),19771015,우주,23,222442180,19771015,,20160324,전농제1동,,,일반미용업,,0,,,2,,N,,3050000-211-1977-00008,내국인,,서울특별시 동대문구 전농로16길 33 (전농동),서울특별시 동대문구 전농동  46번지 50호  
3050000,211,1977,9,미용업(일반),19771015,명동염색머리방,9.9,222452220,20080228,,20160607,답십리제1동,20171113,기타,일반미용업,,0,,,4,,N,,3050000-211-1977-00009,내국인,,서울특별시 동대문구 전농로3길 104 1층 (답십리동),서울특별시 동대문구 답십리동  249번지 15호  
3050000,211,1977,10,미용업(일반),19771015,자연미용실,20.96,222456022,20130719,,19970217,장안제1동,20140922,행정처분,일반미용업,,0,,,3,,N,,3050000-211-1977-00010,내국인,,서울특별시 동대문구 한천로33길 28 1층 (장안동),서울특별시 동대문구 장안동  114번지 26호  1층
