시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3190000,211,1965,1,미용업(일반),19650624,대원,9.62,208159525,19650624,,19650624,노량진제1동,,,일반미용업,20041026,0,,,2,,N,,3190000-211-1965-00001,내국인,,서울특별시 동작구 노량진로26길 39-5 (본동),서울특별시 동작구 본동  49번지 6호  
3190000,211,1968,1,미용업(일반),19681129,백운미용실,27,208141253,19920701,,20110818,상도제1동,20141114,이사,일반미용업,20041026,0,,,3,,N,,3190000-211-1968-00001,내국인,,서울특별시 동작구 상도로37길 46 (상도1동),서울특별시 동작구 상도1동  267번지 1호  
3190000,211,1969,1,미용업(일반),19691113,황금미용실,29.15,208152863,19691113,,19691113,흑석동,,,일반미용업,20041026,0,,,3,,N,,3190000-211-1969-00001,내국인,,서울특별시 동작구 흑석로 113 (흑석동),서울특별시 동작구 흑석동  179번지 0호  
3190000,211,1970,1,미용업(일반),19700725,박 미용실,18.72,02 8152628,20010607,,20120917,노량진제2동,,,일반미용업,20041026,0,0,0,2,0,N,0,3190000-211-1970-00001,내국인,,서울특별시 동작구 장승배기로 139 (노량진동),서울특별시 동작구 노량진동  233번지 12호  
3190000,211,1970,1,미용업(일반),19700725,박 미용실,23,02 8152628,20010607,,20120917,노량진제2동,,,일반미용업,20041026,0,0,0,2,0,N,0,3190000-211-1970-00001,내국인,,서울특별시 동작구 장승배기로 139 (노량진동),서울특별시 동작구 노량진동  233번지 12호  
3190000,211,1970,2,미용업(일반),19700305,27번가 헤어,99.62,02 8134226,20110427,,19951220,흑석동,20150916,영업부진,일반미용업,20110503,0,,,9,,N,,3190000-211-1970-00002,내국인,,서울특별시 동작구 흑석로 101 (흑석동),서울특별시 동작구 흑석동  184번지 27호  
3190000,211,1971,1,미용업(일반),19710526,이정은미용실,11.76,02 8261943,19960720,,19710526,노량진제1동,,,일반미용업,20041026,0,,,2,,N,,3190000-211-1971-00001,내국인,,서울특별시 동작구 만양로 64 (노량진동),서울특별시 동작구 노량진동  222번지 61호  
3190000,211,1971,2,미용업(일반),19710922,아씨,16.02,205999958,20031009,,20030225,사당제3동,20190603,어머님 사망,일반미용업,20041026,0,,,2,,N,,3190000-211-1971-00002,내국인,,서울특별시 동작구 사당로25길 5 (사당동),서울특별시 동작구 사당동  155번지 8호  
3190000,211,1973,1,미용업(일반),19730803,성대,16.1,208429169,20161230,,19730803,상도제3동,,,일반미용업,20161230,0,,,3,,N,,3190000-211-1973-00001,내국인,,서울특별시 동작구 성대로 66 (상도동),서울특별시 동작구 상도동  259번지 22호  
3190000,211,1973,2,미용업(일반),19730214,티파니,17,208140552,19730214,,20121130,상도제2동,20200121,행정처분,일반미용업,20041026,0,,,3,,N,,3190000-211-1973-00002,내국인,,서울특별시 동작구 상도로15길 84-3 (상도동),서울특별시 동작구 상도동  358번지 11호  1층
