시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3240000,211,1979,1,미용업(일반),19791113,꼬꼬미용실,23,02 4814227,19970624,,19970624,명일제2동,,,일반미용업,20041021,0,,,2,,N,,3240000-211-1979-00001,내국인,,서울특별시 강동구 동남로65길 26 (명일동),서울특별시 강동구 명일동  110번지 0호  
3240000,211,1981,1,미용업(일반),19810428,단골미용실,41.12,234265167,20170411,,20110413,천호제2동,,,일반미용업,,0,0,0,3,0,N,0,3240000-211-1981-00001,내국인,,서울특별시 강동구 상암로 42 (천호동청과시장109호),서울특별시 강동구 천호동  287번지 2호  청과시장109호
3240000,211,1981,2,미용업(일반),19810519,오고파,17.28,204848663,20170703,,19970624,천호제2동,,,일반미용업,,0,,,2,,N,,3240000-211-1981-00002,내국인,,서울특별시 강동구 구천면로33길 44 (천호동),서울특별시 강동구 천호동  382번지 12호  
3240000,211,1981,3,미용업(일반),19811107,엥떼르메드,22.5,204838725,19970624,,20170927,둔촌제2동,,,일반미용업,20041021,0,,,3,,N,,3240000-211-1981-00003,내국인,,서울특별시 강동구 양재대로96길 79 1층 104호 (둔촌동 둔촌신동아아파트상가),서울특별시 강동구 둔촌동  555번지  둔촌신동아아파트상가-104
3240000,211,1984,1,미용업(일반),19840120,허엔문 스타일,25,204267873,20090216,,20160502,상일동,,,일반미용업,20090629,0,,,4,,N,,3240000-211-1984-00001,내국인,,서울특별시 강동구 구천면로100길 5 1층 (상일동),서울특별시 강동구 상일동  233번지  1층
3240000,211,1984,1,미용업(일반),19840120,리안헤어,25,204267873,20090216,,20160502,상일동,,,일반미용업,20090629,0,,,4,,N,,3240000-211-1984-00001,내국인,,서울특별시 강동구 구천면로100길 5 1층 (상일동),서울특별시 강동구 상일동  233번지  1층
3240000,211,1984,2,미용업(일반),19840827,촤리,29.97,234262134,20160610,,20120510,암사제3동,,,일반미용업,,0,,,3,,N,,3240000-211-1984-00002,내국인,,서울특별시 강동구 고덕로 133 2층 210호 (암사동 강동롯데캐슬아파트상가),서울특별시 강동구 암사동  414번지 18호  강동롯데캐슬아파트상가-210
3240000,211,1985,1,미용업(일반),19850904,윤화미용실,21.32,02  473 5706,20170314,,19970626,천호제3동,,,일반미용업,,0,,,3,,N,,3240000-211-1985-00001,내국인,,서울특별시 강동구 진황도로 32 (천호동),서울특별시 강동구 천호동  397번지 170호  
3240000,211,1986,1,미용업(일반),19861027,수비헤어,34.4,204742289,19971215,,20170307,성내제1동,,,일반미용업,20041021,0,,,3,,N,,3240000-211-1986-00001,내국인,,서울특별시 강동구 성내로14길 18 1층 107호 (성내동 선광아파트),서울특별시 강동구 성내동  565번지  선광아파트1층-107
3240000,211,1987,1,미용업(일반),19870907,김경미용실,18.7,02 4414486,20070130,,20050308,고덕제1동,,,일반미용업,10101,0,,,3,,N,,3240000-211-1987-00001,내국인,,서울특별시 강동구 동남로82길 105 (고덕동),서울특별시 강동구 고덕동  256번지 2호  
3240000,211,1987,2,미용업(일반),19870708,세종헤어 올림픽점,264,02 4844336,20160126,,19970627,성내제1동,,,일반미용업,20160510,0,,,24,,N,,3240000-211-1987-00002,내국인,,서울특별시 강동구 양재대로 1327 (성내동),서울특별시 강동구 성내동  439번지 14호  
3240000,211,1988,1,미용업(일반),19881126,보람,25,02 4424398,19970627,,20150708,천호제1동,,,일반미용업,20041021,0,,,3,,N,,3240000-211-1988-00001,내국인,,서울특별시 강동구 구천면로 354-1 1층 (천호동),서울특별시 강동구 천호동  243번지 187호  1층
3240000,211,1989,1,미용업(일반),19890817,이쁠리에,33,204768113,20131029,,19970627,성내제2동,,,일반미용업,20131029,0,,,4,,N,,3240000-211-1989-00001,내국인,,서울특별시 강동구 천호대로168길 24 (성내동),서울특별시 강동구 성내동  175번지 30호  
3240000,211,1990,1,미용업(일반),19900328,루비황,20.94,204290270,19970628,,20150923,고덕제2동,,,일반미용업,20041021,0,,,3,,N,,3240000-211-1990-00001,내국인,,서울특별시 강동구 상일로 149-1 1층 (고덕동),서울특별시 강동구 고덕동  182번지 1호  1층
3240000,211,1991,1,미용업(일반),19910930,엔젤,50,204879390,19970630,,20150805,천호제2동,20190129,사업부진,일반미용업,20110518,0,,,3,,N,,3240000-211-1991-00001,내국인,,서울특별시 강동구 구천면로 213 5층 502호 (천호동 금강먹자빌딩),서울특별시 강동구 천호동  406번지 9호  금강먹자빌딩-502
3240000,211,1991,2,미용업(일반),19911206,별,13.2,204879232,20160226,,19970630,성내제3동,,,일반미용업,,0,,,2,,N,,3240000-211-1991-00002,내국인,,서울특별시 강동구 풍성로53길 19 (성내동),서울특별시 강동구 성내동  410번지 5호  
3240000,211,1992,1,미용업(일반),19921021,오현숙 머리방,35,204727184,19970703,,20161228,천호제3동,,,일반미용업,20041021,0,,,3,,N,,3240000-211-1992-00001,내국인,,서울특별시 강동구 진황도로 36 1층 16호 (천호동),서울특별시 강동구 천호동  166번지 4호  1층-16
3240000,211,1992,2,미용업(일반),20030227,미미헤어,20,02  409 3839,19970625,,20171024,길동,,,일반미용업,20151027,0,,,3,,N,,3240000-211-1992-00002,내국인,,서울특별시 강동구 양재대로128길 50 1층 102호 (길동 인제아트빌),서울특별시 강동구 길동  325번지 1호  인제아트빌1층-102
3240000,211,1993,1,미용업(일반),19930728,천연시대,23.1,042 4842138,19930728,,20160421,천호제3동,20160818,개인사정,일반미용업,,0,0,0,3,0,N,0,3240000-211-1993-00001,내국인,,서울특별시 강동구 성안로25길 6 1층 (천호동),서울특별시 강동구 천호동  528번지  1층
3240000,211,1993,2,미용업(일반),19930708,영미용실,7,02 4865166,19970707,,19970707,둔촌제2동,,,일반미용업,20041021,0,,,3,,N,,3240000-211-1993-00002,내국인,,서울특별시 강동구 동남로49길 60-34 (둔촌동),서울특별시 강동구 둔촌동  616번지 5호  
3240000,211,1993,3,미용업(일반),19930318,샵 헤어 솔,28.86,204706920,20110929,,20161122,길동,,,일반미용업,20111028,0,,,3,,N,,3240000-211-1993-00003,내국인,,서울특별시 강동구 천중로50길 27 105호 (길동),서울특별시 강동구 길동  359번지 1호  -105
3240000,211,1993,4,미용업(일반),19930514,가나미용실,24,204880476,20170710,,19970707,길동,,,일반미용업,,0,,,3,,N,,3240000-211-1993-00004,내국인,,서울특별시 강동구 양재대로113길 14 (길동),서울특별시 강동구 길동  379번지 14호  
3240000,211,1994,1,미용업(일반),19940912,챠밍,32.55,02 4271960,20170706,,20140106,상일동,,,일반미용업,,0,,,4,,N,,3240000-211-1994-00001,내국인,,서울특별시 강동구 구천면로100길 27 (상일동 1층),서울특별시 강동구 상일동  275번지 2호  1층
3240000,211,1995,1,미용업(일반),19950812,이즈헤어,29.75,02 4413709,20161101,,20160323,성내제3동,20180102,사업부진,일반미용업,,0,,,3,,N,,3240000-211-1995-00001,내국인,,서울특별시 강동구 양재대로97길 54 1층 101호 (성내동),서울특별시 강동구 성내동  386번지 15호  -101
3240000,211,1996,1,미용업(일반),19960904,라본헤어 천호점,36.3,02 4732040,20160926,,19970709,성내제2동,20200213,서울특별시 송파구로 전출처리됨,일반미용업,,0,,,6,,N,,3240000-211-1996-00001,내국인,,서울특별시 강동구 천호옛길 97 (성내동),서울특별시 강동구 성내동  50번지 19호  
3240000,211,1996,1,미용업(일반),19960904,살롱드 다인(헤어벨류 천호점),36.3,02 4732040,20160926,,19970709,성내제2동,20200213,서울특별시 송파구로 전출처리됨,일반미용업,,0,,,6,,N,,3240000-211-1996-00001,내국인,,서울특별시 강동구 천호옛길 97 (성내동),서울특별시 강동구 성내동  50번지 19호  
3240000,211,1997,1,미용업(일반),19970124,김창숙헤어,13.2,02 4871980,20151109,,19970709,둔촌제2동,,,일반미용업,,0,,,3,,N,,3240000-211-1997-00001,내국인,,서울특별시 강동구 진황도로 209-1 (둔촌동),서울특별시 강동구 둔촌동  98번지 62호  
3240000,211,1998,1,미용업(일반),19980501,혜성,21.75,02 4858828,20160419,,19980504,성내제2동,,,일반미용업,,0,,,3,,N,,3240000-211-1998-00001,내국인,,서울특별시 강동구 올림픽로62길 26 (성내동),서울특별시 강동구 성내동  83번지 18호  
3240000,211,2001,1,미용업(일반),20010413,이브헤어샵,21.45,02 4763237,20150521,,20010413,천호제1동,20170731,건강상,일반미용업,,0,,,3,,N,,3240000-211-2001-00001,내국인,,서울특별시 강동구 구천면로33길 34 (천호동),서울특별시 강동구 천호동  382번지 1호  
3240000,211,2001,2,미용업(일반),20011120,다인헤어,39.6,234280996,20150522,,20011120,명일제1동,,,일반미용업,,0,,,4,,N,,3240000-211-2001-00002,내국인,,서울특별시 강동구 고덕로38길 56 (명일동),서울특별시 강동구 명일동  312번지 135호  
3240000,211,2001,3,미용업(일반),20010806,바람부는날,26,02 4759616,20110728,,20150715,둔촌제2동,,,일반미용업,20120530,0,,,3,,N,,3240000-211-2001-00003,내국인,,서울특별시 강동구 명일로13길 23 101호 (둔촌동),서울특별시 강동구 둔촌동  56번지 0호  -101
3240000,211,2001,4,미용업(일반),20010723,베스트헤어,30,02 4416549,20151013,,20151013,고덕제2동,,,일반미용업,,0,,,3,,N,,3240000-211-2001-00004,내국인,,서울특별시 강동구 상일로21길 13 1층 (고덕동),서울특별시 강동구 고덕동  183번지  1층
