시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3220000,211,1983,1,미용업(일반),19830627,백민재헤어샵,19.8,02 5451290,20110502,,20180515,청담동,,,일반미용업,20110622,0,,,3,,N,,3220000-211-1983-00001,내국인,,서울특별시 강남구 영동대로 702 화천회관빌딩 지상2층 222-1호 (청담동),서울특별시 강남구 청담동  133번지 3호  화천회관빌딩
3220000,211,1983,1,미용업(일반),19830627,백민재헤어샵,65.67,02 5451290,20110502,,20180515,청담동,,,일반미용업,20110622,0,,,3,,N,,3220000-211-1983-00001,내국인,,서울특별시 강남구 영동대로 702 화천회관빌딩 지상2층 222-1호 (청담동),서울특별시 강남구 청담동  133번지 3호  화천회관빌딩
3220000,211,1983,1,미용업(일반),19830627,백민재헤어샵,19.8,02 5451290,20110502,,19830627,삼성1동,,,일반미용업,20110622,0,,,3,,N,,3220000-211-1983-00001,내국인,,서울특별시 강남구 삼성로 649 (삼성동(상아APT 상가 107호)),서울특별시 강남구 삼성동  19번지 4호  (상아APT 상가 107호)
3220000,211,1983,1,미용업(일반),19830627,백민재헤어샵,65.67,02 5451290,20110502,,19830627,삼성1동,,,일반미용업,20110622,0,,,3,,N,,3220000-211-1983-00001,내국인,,서울특별시 강남구 삼성로 649 (삼성동(상아APT 상가 107호)),서울특별시 강남구 삼성동  19번지 4호  (상아APT 상가 107호)
3220000,211,1983,2,미용업(일반),19831013,들어가도싱글나가도벙글 미용실,39.6,,19990621,,20140819,세곡동,,,일반미용업,20021213,0,0,0,0,0,N,,3220000-211-1983-00002,내국인,,서울특별시 강남구 밤고개로34길 4 지상1층 4호 (세곡동),서울특별시 강남구 세곡동  124번지 2호  
3220000,211,1983,3,미용업(일반),19830601,박경자,42.9,02 5449703,19881005,,20141111,신사동,20200113,건강상,일반미용업,,0,,,4,,N,,3220000-211-1983-00003,내국인,,서울특별시 강남구 압구정로 326 2층 201호 (신사동),서울특별시 강남구 신사동  660번지 2호  
3220000,211,1984,1,미용업(일반),19840716,조희미용실,23.91,02 5550157,19980209,,20140602,대치1동,,,일반미용업,,0,,,5,,N,,3220000-211-1984-00001,내국인,,서울특별시 강남구 남부순환로 2917 지상1층 111-가호 (대치동 청실상가),서울특별시 강남구 대치동  626번지 0호  청실상가동 지상1층-111-가
3220000,211,1985,1,미용업(일반),19850810,장지나헤어라인,9,02 5730674,20030916,,19850810,개포1동,20130829,폐업,일반미용업,20031023,0,,,4,,N,,3220000-211-1985-00001,내국인,,서울특별시 강남구 선릉로 7 (개포동(주공APT상가 103호)),서울특별시 강남구 개포동  141번지  (주공APT상가 103호)
3220000,211,1987,1,미용업(일반),19871015,케이뷰티헤어,119.68,02 3931717,20090729,,20140929,역삼1동,20150821,서울특별시 서대문구로 전출처리됨,일반미용업,,0,,,6,,N,,3220000-211-1987-00001,내국인,,서울특별시 강남구 봉은사로 176 지상1층 (역삼동),서울특별시 강남구 역삼동  606번지 3호  
3220000,211,1988,1,미용업(일반),19881121,정정원헤어룩,115.7,02 5453809,20090206,,20140728,삼성1동,,,일반미용업,20090519,0,,,5,,N,,3220000-211-1988-00001,내국인,,서울특별시 강남구 선릉로116길 24 지상1층 102호 (삼성동),서울특별시 강남구 삼성동  39번지 21호  지상1층-102
3220000,211,1990,1,미용업(일반),19901019,박승철헤어스투디오 청담점,129.69,205146167,20110121,,20190426,청담동,,,일반미용업,,0,,,12,,N,,3220000-211-1990-00001,내국인,,서울특별시 강남구 삼성로 740 지상2층 (청담동),서울특별시 강남구 청담동  63번지  
3220000,211,1990,1,미용업(일반),19901019,박승철헤어스투디오 청담점,123.07,205146167,20110121,,20190426,청담동,,,일반미용업,,0,,,12,,N,,3220000-211-1990-00001,내국인,,서울특별시 강남구 삼성로 740 지상2층 (청담동),서울특별시 강남구 청담동  63번지  
3220000,211,1990,1,미용업(일반),19901019,박승철헤어스튜디오,129.69,205146167,20110121,,20190426,청담동,,,일반미용업,,0,,,12,,N,,3220000-211-1990-00001,내국인,,서울특별시 강남구 삼성로 740 지상2층 (청담동),서울특별시 강남구 청담동  63번지  
3220000,211,1990,1,미용업(일반),19901019,박승철헤어스튜디오,123.07,205146167,20110121,,20190426,청담동,,,일반미용업,,0,,,12,,N,,3220000-211-1990-00001,내국인,,서울특별시 강남구 삼성로 740 지상2층 (청담동),서울특별시 강남구 청담동  63번지  
3220000,211,1990,1,미용업(일반),19901019,박승철헤어스투디오 청담점,129.69,205146167,20190426,,20190426,청담동,,,일반미용업,,0,,,12,,N,,3220000-211-1990-00001,내국인,,서울특별시 강남구 삼성로 740 지상2층 (청담동),서울특별시 강남구 청담동  63번지  
3220000,211,1990,1,미용업(일반),19901019,박승철헤어스투디오 청담점,123.07,205146167,20190426,,20190426,청담동,,,일반미용업,,0,,,12,,N,,3220000-211-1990-00001,내국인,,서울특별시 강남구 삼성로 740 지상2층 (청담동),서울특별시 강남구 청담동  63번지  
3220000,211,1990,1,미용업(일반),19901019,박승철헤어스튜디오,129.69,205146167,20190426,,20190426,청담동,,,일반미용업,,0,,,12,,N,,3220000-211-1990-00001,내국인,,서울특별시 강남구 삼성로 740 지상2층 (청담동),서울특별시 강남구 청담동  63번지  
