시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3150000,211,1974,1,미용업(일반),19740903,윤희,10.8,226020989,19740903,,20091015,화곡본동,,,일반미용업,20050530,0,,,3,,N,,3150000-211-1974-00001,내국인,,서울특별시 강서구 화곡로44길 38 (화곡동),서울특별시 강서구 화곡동  29번지 21호  
3150000,211,1974,2,미용업(일반),19740123,샤론,35.88,226408202,20010514,,20010514,화곡제2동,20131120,개인사정,일반미용업,20050530,0,,,3,,N,,3150000-211-1974-00002,내국인,,서울특별시 강서구 강서로10길 130 (화곡동),서울특별시 강서구 화곡동  850번지 14호  
3150000,211,1975,1,미용업(일반),19751015,새로나헤어겔러리,53.34,226045484,19970528,,19970312,우장산동,,,일반미용업,20050530,0,,,7,,N,,3150000-211-1975-00001,내국인,,서울특별시 강서구 화곡로31길 16 (화곡동),서울특별시 강서구 화곡동  1059번지 32호  
3150000,211,1975,2,미용업(일반),19751106,홍키키라인,55.44,226033619,19751106,,19970312,화곡제8동,,,일반미용업,20050530,0,0,0,7,0,N,,3150000-211-1975-00002,내국인,,서울특별시 강서구 강서로 64 (화곡동48),서울특별시 강서구 화곡동  340번지 47호  48
3150000,211,1975,3,미용업(일반),19750626,샤넬,18.88,02  26971729,19750626,,19970313,화곡제8동,,,일반미용업,20050530,0,0,0,3,0,N,,3150000-211-1975-00003,내국인,,서울특별시 강서구 강서로12길 18 (화곡동),서울특별시 강서구 화곡동  342번지 13호  
3150000,211,1977,1,미용업(일반),19770704,진,20.8,226639351,20010613,,20010613,공항동,,,일반미용업,20050530,0,,,2,,N,,3150000-211-1977-00001,내국인,,서울특별시 강서구 방화대로23길 45 (공항동),서울특별시 강서구 공항동  15번지 29호  
3150000,211,1977,2,미용업(일반),19770901,현,30,02  26513919,20131004,,20170220,등촌제2동,,,일반미용업,20131107,0,,,2,,N,,3150000-211-1977-00002,내국인,,서울특별시 강서구 등촌로39길 36 1층 (등촌동),서울특별시 강서구 등촌동  523번지 7호  1층
3150000,211,1978,1,미용업(일반),19781109,리 헤어,15.2,02  26647924,20010613,,20010613,공항동,,,일반미용업,20050530,0,0,0,3,0,N,,3150000-211-1978-00001,내국인,,서울특별시 강서구 공항대로2길 13 (공항동),서울특별시 강서구 공항동  51번지 60호  
3150000,211,1978,2,미용업(일반),19780515,쎄씨미용실,46.28,02  26972728,20010514,,20110725,화곡제1동,20150701,개인사정,일반미용업,20050530,0,,,3,,N,,3150000-211-1978-00002,내국인,,서울특별시 강서구 강서로7길 59 (화곡동),서울특별시 강서구 화곡동  914번지 35호  
3150000,211,1979,1,미용업(일반),19790731,한임석 153 미모 ART,36.8,02  26631469,19970226,,19970312,발산제1동,,,일반미용업,20050530,0,0,0,3,0,N,,3150000-211-1979-00001,내국인,,서울특별시 강서구 강서로 349 (내발산동),서울특별시 강서구 내발산동  654번지 4호  
3150000,211,1979,2,미용업(일반),19790801,프리헤어아트,27.2,226937861,20140313,,20091028,우장산동,,,일반미용업,20130515,0,,,3,,N,,3150000-211-1979-00002,내국인,,서울특별시 강서구 화곡로31길 85 (화곡동),서울특별시 강서구 화곡동  1031번지 3호  
3150000,211,1979,3,미용업(일반),19790629,김정순,23,226974623,20010613,,20010613,화곡제4동,20151102,건강문제,일반미용업,20050530,0,,,4,,N,,3150000-211-1979-00003,내국인,,서울특별시 강서구 강서로10길 185 (화곡동),서울특별시 강서구 화곡동  840번지 11호  
3150000,211,1980,1,미용업(일반),19801016,이선이,19.44,02  26634510,19801016,,20100105,방화제1동,20190213,영업부진,일반미용업,20050530,0,,,5,,N,,3150000-211-1980-00001,내국인,,서울특별시 강서구 양천로24가길 87 (방화동),서울특별시 강서구 방화동  249번지 5호  
3150000,211,1980,2,미용업(일반),19800607,오월의 신부,18.6,02  26666237,20100413,,19970313,방화제1동,20150330,영업부진,일반미용업,20100707,0,0,0,4,0,N,0,3150000-211-1980-00002,내국인,,서울특별시 강서구 양천로24가길 18 상가동 1층 1호 (방화동),서울특별시 강서구 방화동  285번지 14호  상가 1층-1
3150000,211,1980,3,미용업(일반),19800819,나나,18.91,226034572,19970226,,19970312,화곡본동,20150114,개인사정,일반미용업,20050530,0,,,2,,N,,3150000-211-1980-00003,내국인,,서울특별시 강서구 초록마을로8길 7 (화곡동),서울특별시 강서구 화곡동  55번지 101호  
3150000,211,1981,1,미용업(일반),19810515,그린미용실,14.7,226991788,20040426,,20010514,화곡제8동,,,일반미용업,20040624,0,,,3,,N,,3150000-211-1981-00001,내국인,,서울특별시 강서구 곰달래로25길 75 (화곡동),서울특별시 강서구 화곡동  340번지 104호  
3150000,211,1981,2,미용업(일반),19810602,21c 백구사,49.5,02  26070194,19971222,,19970312,화곡제1동,,,일반미용업,20050530,0,,,4,,N,,3150000-211-1981-00002,내국인,,서울특별시 강서구 곰달래로19길 45 (화곡동),서울특별시 강서구 화곡동  421번지 7호  
3150000,211,1982,1,미용업(일반),19821119,임옥순헤어,23.18,02  26926973,20021128,,20010514,화곡제2동,20190405,영업종료,일반미용업,20021226,0,,,3,,N,,3150000-211-1982-00001,내국인,,서울특별시 강서구 곰달래로 167 (화곡동),서울특별시 강서구 화곡동  872번지 21호  
3150000,211,1982,2,미용업(일반),19820217,성원미용실,26.4,226646252,19970226,,20170809,방화제1동,,,일반미용업,20050530,0,0,0,3,0,N,0,3150000-211-1982-00002,내국인,,서울특별시 강서구 양천로 45-1 1층 (방화동),서울특별시 강서구 방화동  489번지 1호  1층
3150000,211,1982,3,미용업(일반),19820305,국제,15.75,226646548,20010514,,20070516,방화제2동,,,일반미용업,20050629,0,,,2,,N,,3150000-211-1982-00003,내국인,,서울특별시 강서구 방화동로7길 6 (방화동1층),서울특별시 강서구 방화동  614번지 79호  1층
3150000,211,1982,4,미용업(일반),19820907,뉴밀레니엄헤어,19.2,02  26905756,20010416,,20010416,화곡제2동,,,일반미용업,20010919,0,,,3,,N,,3150000-211-1982-00004,내국인,,서울특별시 강서구 곰달래로31가길 107 (화곡동),서울특별시 강서구 화곡동  832번지 13호  
3150000,211,1982,5,미용업(일반),19821108,댕기머리,35,226910857,19970211,,20161111,화곡제4동,,,일반미용업,20041021,0,,,3,,N,,3150000-211-1982-00005,내국인,,서울특별시 강서구 곰달래로53길 46 1층 (화곡동),서울특별시 강서구 화곡동  828번지 9호  1층
3150000,211,1983,1,미용업(일반),19830407,승희미용실,27.22,02  26630334,20010613,,20010613,공항동,,,일반미용업,20050530,0,0,0,3,0,N,,3150000-211-1983-00001,내국인,,서울특별시 강서구 방화대로21길 73 (공항동),서울특별시 강서구 공항동  18번지 28호  
3150000,211,1983,2,미용업(일반),19831005,수예헤어샵,13.44,226617317,20010515,,20030225,방화제2동,,,일반미용업,20050530,0,,,2,,N,,3150000-211-1983-00002,내국인,,서울특별시 강서구 양천로14길 66 (방화동),서울특별시 강서구 방화동  552번지 13호  
3150000,211,1983,3,미용업(일반),19831201,권홍헤어,198,02 6635266,20010827,,20040126,방화제1동,20161004,개인사정,일반미용업,20050629,0,,,12,,N,,3150000-211-1983-00003,내국인,,서울특별시 강서구 방화동로 44 (방화동3층),서울특별시 강서구 방화동  609번지 187호  3층
3150000,211,1983,4,미용업(일반),19830511,슬기,18.81,226043254,19991207,,19991207,화곡제8동,,,일반미용업,20050530,0,,,3,,N,,3150000-211-1983-00004,내국인,,서울특별시 강서구 강서로16길 31 (화곡동),서울특별시 강서구 화곡동  340번지 78호  
3150000,211,1983,5,미용업(일반),19830901,가위소리,14.43,02 6978531,20020329,,19970911,화곡제1동,20160302,영업부진,일반미용업,20021023,0,,,3,,N,,3150000-211-1983-00005,내국인,,서울특별시 강서구 월정로18길 10 (화곡동),서울특별시 강서구 화곡동  936번지 20호  
3150000,211,1984,1,미용업(일반),19840509,만나,51.57,226635032,19970226,,20160818,발산제1동,,,일반미용업,20050530,0,,,3,,N,,3150000-211-1984-00001,내국인,,서울특별시 강서구 강서로47나길 24 102호 (내발산동),서울특별시 강서구 내발산동  709번지 5호  -102
3150000,211,1984,2,미용업(일반),19840124,쎄븐헤어라인,18.7,02  26637410,20010911,,20010911,방화제2동,20150112,개인사정,일반미용업,20050530,0,,,5,,N,,3150000-211-1984-00002,내국인,,서울특별시 강서구 양천로14길 52 (방화동),서울특별시 강서구 방화동  553번지 30호  
3150000,211,1984,3,미용업(일반),19841006,김선희헤어패션,25.73,02  26639325,19980212,,19980123,방화제1동,,,일반미용업,20050530,0,0,0,4,0,N,,3150000-211-1984-00003,내국인,,서울특별시 강서구 초원로16길 71 (방화동),서울특별시 강서구 방화동  610번지 28호  
3150000,211,1984,4,미용업(일반),19841217,장,16.4,226940302,19970227,,19970312,화곡제3동,,,일반미용업,20050530,0,,,3,,N,,3150000-211-1984-00004,내국인,,서울특별시 강서구 강서로35길 70 (화곡동),서울특별시 강서구 화곡동  1037번지 32호  
3150000,211,1984,5,미용업(일반),19840621,신세계헤어살롱,16.38,226423720,20010515,,20010515,화곡제4동,20160509,건강상이유,일반미용업,20050530,0,0,0,3,0,N,,3150000-211-1984-00005,내국인,,서울특별시 강서구 곰달래로53길 99 (화곡동),서울특별시 강서구 화곡동  469번지 12호  
3150000,211,1984,6,미용업(일반),19841025,헤어플랜비,18.6,02  26029088,20160215,,19990320,화곡본동,20160229,영업부진,일반미용업,,0,,,6,,N,,3150000-211-1984-00006,내국인,,서울특별시 강서구 초록마을로 38 (화곡동),서울특별시 강서구 화곡동  59번지 10호  
3150000,211,1984,7,미용업(일반),19840928,쎄씨헤어 화곡역점,52.93,226935920,20050309,,20010623,화곡본동,,,일반미용업,20050530,0,,,6,,N,,3150000-211-1984-00007,내국인,,서울특별시 강서구 까치산로 29 (화곡동),서울특별시 강서구 화곡동  98번지 150호  
3150000,211,1984,8,미용업(일반),19840301,백합미용실,17.6,226053039,20010515,,20010515,화곡제6동,,,일반미용업,20050530,0,,,2,,N,,3150000-211-1984-00008,내국인,,서울특별시 강서구 화곡로53길 36-11 (화곡동),서울특별시 강서구 화곡동  994번지 9호  
3150000,211,1985,1,미용업(일반),19851025,도시여성,12.15,236610977,20030226,,19980706,등촌제3동,,,일반미용업,20030925,0,,,4,,N,,3150000-211-1985-00001,내국인,,서울특별시 강서구 공항대로39길 59 상가동 203호 (등촌동등촌4단지),서울특별시 강서구 등촌동  690번지 0호 상가 등촌4단지-203
3150000,211,1985,2,미용업(일반),19850713,아름다울 미,33.25,02 6979807,20151021,,19990108,화곡제1동,,,일반미용업,20151215,0,,,3,,N,,3150000-211-1985-00002,내국인,,서울특별시 강서구 월정로30길 95 (화곡동),서울특별시 강서구 화곡동  369번지 7호  
3150000,211,1985,3,미용업(일반),19850601,라온 헤어샵,51.84,226054064,19850601,,20100302,화곡제8동,,,일반미용업,20050530,0,,,4,,N,,3150000-211-1985-00003,내국인,,서울특별시 강서구 강서로18길 15 (화곡동2층),서울특별시 강서구 화곡동  338번지 22호  2층
3150000,211,1985,4,미용업(일반),19851025,야미미용실,10.56,226041472,19970227,,19970312,화곡제2동,,,일반미용업,20050530,0,,,1,,N,,3150000-211-1985-00004,내국인,,서울특별시 강서구 곰달래로45길 74 (화곡동),서울특별시 강서구 화곡동  458번지 1호  
3150000,211,1985,5,미용업(일반),19850126,베다니미용실,30,226031847,20070208,,20150915,화곡제6동,,,일반미용업,20070510,0,,,4,,N,,3150000-211-1985-00005,내국인,,서울특별시 강서구 까치산로 119 1층 (화곡동),서울특별시 강서구 화곡동  976번지 1호  
3150000,211,1985,6,미용업(일반),19850503,화원미용실,11.2,226039925,20141118,,19970312,화곡제2동,20160113,영업부진,일반미용업,,0,,,3,,N,,3150000-211-1985-00006,내국인,,서울특별시 강서구 강서로10길 69 (화곡동),서울특별시 강서구 화곡동  873번지 11호  
3150000,211,1986,1,미용업(일반),19860912,미세스박파마타운,19.77,226651684,19990426,,19990426,방화제1동,,,일반미용업,20050530,0,,,4,,N,,3150000-211-1986-00001,내국인,,서울특별시 강서구 양천로 91-6 (방화동),서울특별시 강서구 방화동  288번지 15호  
3150000,211,1986,2,미용업(일반),19860310,방화미용실,12.24,226625566,19970227,,19970312,방화제2동,,,일반미용업,20050530,0,,,3,,N,,3150000-211-1986-00002,내국인,,서울특별시 강서구 금낭화로 42 (방화동),서울특별시 강서구 방화동  594번지 34호  
3150000,211,1986,3,미용업(일반),19860802,유미용실,10.81,226636487,19970227,,19970312,방화제2동,,,일반미용업,20050531,0,,,2,,N,,3150000-211-1986-00003,내국인,,서울특별시 강서구 방화동로5길 6 (방화동),서울특별시 강서구 방화동  614번지 257호  
3150000,211,1986,4,미용업(일반),19861212,댕기따는날,30.96,226665171,20090409,,19991025,방화제1동,,,일반미용업,20090710,0,,,4,,N,,3150000-211-1986-00004,내국인,,서울특별시 강서구 방화대로34길 113 (방화동삼성@상가201),서울특별시 강서구 방화동  857번지  삼성@상가201
3150000,211,1986,5,미용업(일반),19860801,희미용실,15.16,226900505,19860801,,19970312,화곡제3동,,,일반미용업,20050530,0,,,2,,N,,3150000-211-1986-00005,내국인,,서울특별시 강서구 화곡로21길 44 (화곡동),서울특별시 강서구 화곡동  1035번지 33호  
3150000,211,1986,6,미용업(일반),19861031,권정희미용실,15.12,02  26028602,19971230,,20080205,화곡제3동,20140610,건강상,일반미용업,20050530,0,0,0,3,0,N,,3150000-211-1986-00006,내국인,,서울특별시 강서구 강서로41길 67 (화곡동),서울특별시 강서구 화곡동  1037번지 21호  
3150000,211,1986,7,미용업(일반),19861024,그린미용실,18.9,226976254,19861024,,19980103,화곡제1동,,,일반미용업,20050530,0,,,3,,N,,3150000-211-1986-00007,내국인,,서울특별시 강서구 월정로30길 47 (화곡동),서울특별시 강서구 화곡동  370번지 43호  
3150000,211,1986,8,미용업(일반),19860228,권헤어샵,10,02  26435952,19860228,,20170803,화곡제4동,,,일반미용업,20050530,0,,,2,,N,,3150000-211-1986-00008,내국인,,서울특별시 강서구 등촌로5가길 32 지층 (화곡동),서울특별시 강서구 화곡동  810번지 15호  지층
3150000,211,1986,9,미용업(일반),19860407,나드리미용실,34.58,226448252,19970227,,19970312,화곡제4동,,,일반미용업,20050530,0,,,5,,N,,3150000-211-1986-00009,내국인,,서울특별시 강서구 곰달래로58길 16 (화곡동),서울특별시 강서구 화곡동  795번지 3호  
3150000,211,1986,10,미용업(일반),19861202,예리미용실,19.68,226972456,20010613,,20010613,화곡제8동,,,일반미용업,20050530,0,,,3,,N,,3150000-211-1986-00010,내국인,,서울특별시 강서구 곰달래로28길 20 (화곡동),서울특별시 강서구 화곡동  892번지 1호  
3150000,211,1986,11,미용업(일반),19860423,쎄씨헤어,36.76,226047733,20140814,,19990326,화곡제6동,20180202,개인사유,일반미용업,20140911,0,,,6,,N,,3150000-211-1986-00011,내국인,,서울특별시 강서구 까치산로 127 (화곡동),서울특별시 강서구 화곡동  977번지 3호  
3150000,211,1986,12,미용업(일반),19861114,아름미용실,17,226026943,19990426,,19990426,화곡제2동,,,일반미용업,20050530,0,,,3,,N,,3150000-211-1986-00012,내국인,,서울특별시 강서구 곰달래로35길 41-11 (화곡동),서울특별시 강서구 화곡동  869번지 24호  
3150000,211,1987,1,미용업(일반),19870514,김미화미용실,26.28,236630138,19971022,,20130925,등촌제2동,,,일반미용업,20050530,0,,,5,,N,,3150000-211-1987-00001,내국인,,서울특별시 강서구 화곡로66길 90 코오롱아파트상가동 1층 106호 (등촌동),서울특별시 강서구 등촌동  642번지  
