시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3170000,211,1989,1,미용업(일반),19891120,가람미용실,39.66,02 8696130,20100216,,20020916,독산제3동,,,일반미용업,20100525,0,,,3,,N,,3170000-211-1989-00001,내국인,,서울특별시 금천구 시흥대로148길 47 (독산동),서울특별시 금천구 독산동  970번지 49호  [반수2길 1]
3170000,211,1996,1,미용업(일반),19961106,정훈헤어샵,21.73,02   8253268,20170228,,20171109,독산제2동,20190315,서울특별시 영등포구로 전출처리됨,일반미용업,20170228,0,,,3,,N,,3170000-211-1996-00001,내국인,,서울특별시 금천구 독산로64길 40 (독산동),서울특별시 금천구 독산동  381번지 21호  
3170000,211,1997,1,미용업(일반),19971113,미샵,30.92,02 8581953,20100129,,19971119,독산제3동,,,일반미용업,20100225,0,0,0,4,0,N,0,3170000-211-1997-00001,내국인,,서울특별시 금천구 문성로 35 (독산동),서울특별시 금천구 독산동  889번지 18호  [문성골길 222]
3170000,211,2002,1,미용업(일반),20020523,헤어컬,27,02 8963445,20161116,,20020523,시흥제1동,20180607,건강상 이유,일반미용업,,0,,,4,,N,,3170000-211-2002-00001,내국인,,서울특별시 금천구 독산로 13-1 (시흥동),서울특별시 금천구 시흥동  905번지 92호  (독산동길 356)
3170000,211,2003,1,미용업(일반),20030808,명주 미용실,33,02 8458121,20160621,,20151201,독산제3동,,,일반미용업,20160712,0,,,3,,N,,3170000-211-2003-00001,외국인,중국,서울특별시 금천구 시흥대로148길 37-10 (독산동),서울특별시 금천구 독산동  970번지 28호  -104
3170000,211,2003,2,미용업(일반),20030325,장머리방,19.8,02 8025284,20030325,,20171023,독산제1동,,,일반미용업,20161019,0,,,2,,N,,3170000-211-2003-00002,내국인,,서울특별시 금천구 금하로1가길 50 1층 (독산동),서울특별시 금천구 독산동  1113번지 3호  1층
3170000,211,2004,1,미용업(일반),20040228,서탑헤어,15.76,02 8305587,20161123,,20040228,독산제3동,,,일반미용업,,0,,,3,,N,,3170000-211-2004-00001,외국인,중국,서울특별시 금천구 시흥대로150길 37-16 (독산동),서울특별시 금천구 독산동  964번지 23호  
3170000,211,2004,2,미용업(일반),20040527,예진헤어,33,02 8538842,20060621,,20160316,독산제4동,,,일반미용업,20061020,0,,,3,,N,,3170000-211-2004-00002,내국인,,서울특별시 금천구 독산로 247 1층 (독산동),서울특별시 금천구 독산동  195번지 7호  1층
3170000,211,2004,3,미용업(일반),20040728,머리못하는집61호,27.5,02 8518115,20161125,,20040728,독산제3동,,,일반미용업,20161201,0,,,3,,N,,3170000-211-2004-00003,내국인,,서울특별시 금천구 독산로108길 99 (독산동),서울특별시 금천구 독산동  901번지 15호  [개나리1길 25]
3170000,211,2005,1,미용업(일반),20050329,작은연인들,33,,20111024,,20140122,독산제1동,20160216,개인사정,일반미용업,20111222,0,0,0,2,0,N,0,3170000-211-2005-00001,내국인,,서울특별시 금천구 독산로80길 5 (독산동),서울특별시 금천구 독산동  179번지 32호  
