시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3200000,211,1968,1,미용업(일반),19681014,낙원,14.03,02 8890853,19970728,,19970728,중앙동,20161031,사업부진,일반미용업,,0,,,2,,N,,3200000-211-1968-00001,내국인,,서울특별시 관악구 봉천로45길 17 (봉천동),서울특별시 관악구 봉천동  886번지 65호  
3200000,211,1969,1,미용업(일반),19690830,리안 헤어,82.5,02 8751426,20150506,,19990128,행운동,,,일반미용업,,0,,,6,,N,,3200000-211-1969-00001,내국인,,서울특별시 관악구 관악로 192 3층 (봉천동),서울특별시 관악구 봉천동  851번지 30호  3층
3200000,211,1971,1,미용업(일반),19710628,광주미용실,19.8,02 8833788,19990506,,19971204,중앙동,,,일반미용업,,0,,,2,,N,,3200000-211-1971-00001,내국인,,서울특별시 관악구 중앙길 79 (봉천동),서울특별시 관악구 봉천동  50번지 130호  
3200000,211,1974,1,미용업(일반),19740619,민정,15.19,02 8899844,20050302,,19970416,보라매동,,,일반미용업,20050324,0,,,3,,N,,3200000-211-1974-00001,내국인,,서울특별시 관악구 당곡길 35 (봉천동),서울특별시 관악구 봉천동  705번지 5호  
3200000,211,1977,1,미용업(일반),19770528,현대,14.85,02 8866145,19970416,,19970416,중앙동,,,일반미용업,,0,,,2,,N,,3200000-211-1977-00001,내국인,,서울특별시 관악구 중앙길 71 (봉천동),서울특별시 관악구 봉천동  49번지 68호  
3200000,211,1977,2,미용업(일반),19771123,성신,22,02 8636224,19970416,,20080731,신사동,,,일반미용업,,0,,,3,,N,,3200000-211-1977-00002,내국인,,서울특별시 관악구 남부순환로157길 7 (신림동),서울특별시 관악구 신림동  507번지 19호  
3200000,211,1978,1,미용업(일반),19781016,이혜경미용실,12.24,02 8853725,19971204,,19971204,신림동,20181203,건강상 사유,일반미용업,,0,,,2,,N,,3200000-211-1978-00001,내국인,,서울특별시 관악구 봉천로4길 18 (신림동),서울특별시 관악구 신림동  1449번지 1호  
3200000,211,1978,2,미용업(일반),19781120,주연,15,02 8897073,19970729,,20160728,중앙동,,,일반미용업,,0,,,2,,N,,3200000-211-1978-00002,내국인,,서울특별시 관악구 양녕로2길 11 1층 (봉천동),서울특별시 관악구 봉천동  891번지 34호  1층
3200000,211,1979,1,미용업(일반),19790410,용궁,10.85,02 8833414,19970728,,19970728,청룡동,20160523,재개발,일반미용업,,0,,,2,,N,,3200000-211-1979-00001,내국인,,서울특별시 관악구 참숯1길 20 (봉천동),서울특별시 관악구 봉천동  1538번지 18호  
3200000,211,1979,2,미용업(일반),19791031,은미용실,30.78,232813215,20170203,,19970728,난곡동,,,일반미용업,,0,0,0,2,0,N,0,3200000-211-1979-00002,내국인,,서울특별시 관악구 난곡로34길 40 (신림동),서울특별시 관악구 신림동  624번지 1호  
