시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3040000,211,1973,1,미용업(일반),19730515,새서울미용실,23.1,02 4572785,19971224,,20150610,구의제2동,,,일반미용업,,0,,,2,,N,,3040000-211-1973-00001,내국인,,서울특별시 광진구 광나루로37길 21 1층 (구의동),서울특별시 광진구 구의동  65번지 10호  
3040000,211,1981,1,미용업(일반),19810514,선아미용실,27,02 4446783,19960529,,20140528,자양제1동,,,일반미용업,,0,,,3,,N,,3040000-211-1981-00001,내국인,,서울특별시 광진구 뚝섬로55길 11 1층 (자양동),서울특별시 광진구 자양동  654번지 19호  
3040000,211,1982,1,미용업(일반),19820215,제오헤어 군자점,170.37,02 4992779,20161019,,20030226,군자동,,,일반미용업,,0,0,0,6,0,N,0,3040000-211-1982-00001,내국인,,서울특별시 광진구 능동로 281 (군자동),서울특별시 광진구 군자동  1번지 5호  
3040000,211,1984,1,미용업(일반),19840713,헤어쟁이유(Yoo),40,02 4475110,20150304,,19971224,구의제2동,,,일반미용업,,0,,,4,,N,,3040000-211-1984-00001,내국인,,서울특별시 광진구 자양로47길 1 (구의동),서울특별시 광진구 구의동  50번지 8호  
3040000,211,1984,2,미용업(일반),19840423,세븐미용실,19.65,02 4650028,19960531,,20150317,자양제4동,,,일반미용업,,0,,,3,,N,,3040000-211-1984-00002,내국인,,서울특별시 광진구 동일로18길 20 1층 (자양동),서울특별시 광진구 자양동  12번지 6호  
3040000,211,1987,1,미용업(일반),19870902,수빈헤어샵,24,02 4546698,20131030,,19960716,구의제1동,20200130,양도,일반미용업,,0,,,4,,N,,3040000-211-1987-00001,내국인,,서울특별시 광진구 자양로26길 99 (구의동),서울특별시 광진구 구의동  222번지 32호  
3040000,211,1989,1,미용업(일반),19890705,소프레사컨셉살롱(구샤크헤어) 건대점,61,02 4464880,20040131,,20161007,자양제3동,,,일반미용업,,0,0,0,3,0,N,0,3040000-211-1989-00001,내국인,,서울특별시 광진구 자양번영로 45 2층 201호 (자양동),서울특별시 광진구 자양동  580번지 5호  2층-201
3040000,211,1992,1,미용업(일반),19921202,이철헤어커커,94.5,02 4553533,19970513,,20141215,구의제3동,,,일반미용업,,0,0,0,7,0,N,0,3040000-211-1992-00001,내국인,,서울특별시 광진구 광나루로56길 32 202호 (구의동 강변상가),서울특별시 광진구 구의동  611번지  강변상가-202
3040000,211,1992,2,미용업(일반),19920410,이홍주헤어클럽,39.67,02 4550547,20011121,,20190125,중곡제4동,,,일반미용업,20020227,0,,,4,,N,,3040000-211-1992-00002,내국인,,서울특별시 광진구 영화사로7길 13 1층 (중곡동),서울특별시 광진구 중곡동  99번지 7호  
3040000,211,1992,2,미용업(일반),19920410,이홍주헤어클럽,34.5,02 4550547,20011121,,20190125,중곡제4동,,,일반미용업,20020227,0,,,4,,N,,3040000-211-1992-00002,내국인,,서울특별시 광진구 영화사로7길 13 1층 (중곡동),서울특별시 광진구 중곡동  99번지 7호  
3040000,211,1992,2,미용업(일반),19920410,이홍주헤어클럽,39.67,02 4550547,20011121,,20150226,중곡제4동,,,일반미용업,20020227,0,,,4,,N,,3040000-211-1992-00002,내국인,,서울특별시 광진구 긴고랑로36길 72 1층 (중곡동),서울특별시 광진구 중곡동  99번지 1호  
3040000,211,1992,2,미용업(일반),19920410,이홍주헤어클럽,34.5,02 4550547,20011121,,20150226,중곡제4동,,,일반미용업,20020227,0,,,4,,N,,3040000-211-1992-00002,내국인,,서울특별시 광진구 긴고랑로36길 72 1층 (중곡동),서울특별시 광진구 중곡동  99번지 1호  
3040000,211,1993,1,미용업(일반),19930810,보노헤어(BonoHair),27,02 4684168,20141223,,19970120,화양동,,,일반미용업,,0,,,5,,N,,3040000-211-1993-00001,내국인,,서울특별시 광진구 능동로 145 (화양동),서울특별시 광진구 화양동  2번지 49호  
3040000,211,1994,1,미용업(일반),19941121,미다듬,24,02 4620348,20130328,,20080529,중곡제4동,,,일반미용업,,0,0,0,3,0,N,,3040000-211-1994-00001,내국인,,서울특별시 광진구 용마산로8길 21 (중곡동),서울특별시 광진구 중곡동  59번지 21호  
3040000,211,1995,1,미용업(일반),19951125,라벨라 헤어,54,031 5827104,19951125,,20131024,구의제1동,20140811,질병,일반미용업,,0,,,,,N,,3040000-211-1995-00001,내국인,,서울특별시 광진구 아차산로55길 20 2층 (구의동),서울특별시 광진구 구의동  242번지 90호  
3040000,211,1996,1,미용업(일반),19961112,지윤헤어,26.22,02 4554849,20110124,,19961112,중곡제4동,,,일반미용업,,0,,,3,,N,,3040000-211-1996-00001,내국인,,서울특별시 광진구 자양로43길 57 (중곡동),서울특별시 광진구 중곡동  115번지 16호  
3040000,211,1996,2,미용업(일반),19961106,영주머리방,33,02 4587233,19961107,,20140820,중곡제4동,,,일반미용업,,0,0,0,4,0,N,,3040000-211-1996-00002,내국인,,서울특별시 광진구 긴고랑로36길 35 1층 (중곡동),서울특별시 광진구 중곡동  84번지 33호  
3040000,211,1997,1,미용업(일반),19970826,신해숙헤어샵,24,234370688,19970826,,20140619,중곡제4동,,,일반미용업,,0,,,3,,N,,3040000-211-1997-00001,내국인,,서울특별시 광진구 용마산로2길 56 1층 (중곡동),서울특별시 광진구 중곡동  98번지 12호  
3040000,211,1997,2,미용업(일반),19970701,엄마손미용실,26.4,02 4579627,19970701,,20151105,구의제2동,,,일반미용업,,0,,,3,,N,,3040000-211-1997-00002,내국인,,서울특별시 광진구 자양로 235 1층 (구의동),서울특별시 광진구 구의동  79번지 25호  1층
3040000,211,1998,1,미용업(일반),19980418,온새미로,100,02 4984022,20140806,,19980418,화양동,,,일반미용업,,0,,,15,,N,,3040000-211-1998-00001,내국인,,서울특별시 광진구 능동로 177 (화양동),서울특별시 광진구 화양동  111번지 159호  
3040000,211,1999,1,미용업(일반),19990211,봄꽃,26.4,02 4650400,20160701,,19990211,군자동,,,일반미용업,,0,,,3,,N,,3040000-211-1999-00001,내국인,,서울특별시 광진구 면목로 37 (군자동),서울특별시 광진구 군자동  469번지 22호  
3040000,211,1999,2,미용업(일반),19990311,최은하헤어코디,34.3,,20140801,,20130529,중곡제4동,20160905,경기불황,일반미용업,,0,,,6,,N,,3040000-211-1999-00002,내국인,,서울특별시 광진구 긴고랑로 120 (중곡동),서울특별시 광진구 중곡동  78번지 8호  
3040000,211,2002,1,미용업(일반),20020912,헤어샵(#),13.22,02 4440221,20020912,,20180221,자양제3동,,,일반미용업,20020925,0,,,4,,N,,3040000-211-2002-00001,내국인,,서울특별시 광진구 자양번영로1길 15 1층 (자양동),서울특별시 광진구 자양동  589번지 2호  1층
3040000,211,2002,1,미용업(일반),20020912,헤어샵(#),25,02 4440221,20020912,,20180221,자양제3동,,,일반미용업,20020925,0,,,4,,N,,3040000-211-2002-00001,내국인,,서울특별시 광진구 자양번영로1길 15 1층 (자양동),서울특별시 광진구 자양동  589번지 2호  1층
3040000,211,2002,1,미용업(일반),20020912,헤어샵(#),13.22,02 4440221,20020912,,20130730,자양제2동,,,일반미용업,20020925,0,,,4,,N,,3040000-211-2002-00001,내국인,,서울특별시 광진구 자양번영로6길 39 (자양동),서울특별시 광진구 자양동  607번지 38호  
3040000,211,2002,1,미용업(일반),20020912,헤어샵(#),25,02 4440221,20020912,,20130730,자양제2동,,,일반미용업,20020925,0,,,4,,N,,3040000-211-2002-00001,내국인,,서울특별시 광진구 자양번영로6길 39 (자양동),서울특별시 광진구 자양동  607번지 38호  
