시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3000000,211,1965,1,미용업(일반),19650107,승희,14.08,02 7624737,19970421,,20021205,혜화동,,,일반미용업,20100511,0,,,3,,N,,3000000-211-1965-00001,내국인,,서울특별시 종로구 성균관로5길 5 (명륜2가),서울특별시 종로구 명륜2가  140번지 2호  
3000000,211,1968,1,미용업(일반),19680917,몽땅,35,02 7369397,19970421,,19970421,사직동,,,일반미용업,20100511,0,,,5,,N,,3000000-211-1968-00001,내국인,,서울특별시 종로구 자하문로1길 44 (체부동),서울특별시 종로구 체부동  209번지  
3000000,211,1968,1,미용업(일반),19680917,몽땅,18,02 7369397,19970421,,19970421,사직동,,,일반미용업,20100511,0,,,5,,N,,3000000-211-1968-00001,내국인,,서울특별시 종로구 자하문로1길 44 (체부동),서울특별시 종로구 체부동  209번지  
3000000,211,1968,2,미용업(일반),19680529,YMCA,73,02 7327580,19970421,,19970421,종로1.2.3.4가동,,,일반미용업,20100511,0,,,7,,N,,3000000-211-1968-00002,내국인,,서울특별시 종로구 종로 69 (종로2가),서울특별시 종로구 종로2가  9번지  
3000000,211,1971,1,미용업(일반),19710127,시온헤어,50,02 7346962,20120116,,19970421,종로1.2.3.4가동,20150409,개인사정,일반미용업,,0,,,6,,N,,3000000-211-1971-00001,내국인,,서울특별시 종로구 종로 80-1 2층 (종로2가),서울특별시 종로구 종로2가  75번지 7호  2층
3000000,211,1973,1,미용업(일반),19730425,금별,15.64,02 7623851,19970421,,19970421,종로5.6가동,,,일반미용업,20100511,0,,,2,,N,,3000000-211-1973-00001,내국인,,서울특별시 종로구 율곡로16길 22 (충신동),서울특별시 종로구 충신동  96번지  
3000000,211,1974,1,미용업(일반),19741203,라베스타 에코헤어,66,02 7626724,20150911,,20110104,종로5.6가동,,,일반미용업,20131231,0,0,0,6,0,N,0,3000000-211-1974-00001,내국인,,서울특별시 종로구 종로41길 36 1층 (종로6가),서울특별시 종로구 종로6가  189번지  
3000000,211,1975,1,미용업(일반),19750317,문,11,02 7622602,19970421,,19970421,창신제2동,,,일반미용업,20100511,0,,,3,,N,,3000000-211-1975-00001,내국인,,서울특별시 종로구 창신5나길 29 (창신동),서울특별시 종로구 창신동  583번지 40호  
3000000,211,1975,2,미용업(일반),19750916,오성,11.2,222733862,19970421,,19750916,종로1.2.3.4가동,,,일반미용업,20100511,0,,,2,,N,,3000000-211-1975-00002,내국인,,서울특별시 종로구 창경궁로12길 15 (예지동),서울특별시 종로구 예지동  6번지 2호  
3000000,211,1976,1,미용업(일반),19761018,유정,20,02 7387333,19970421,,19970421,청운효자동,,,일반미용업,20100511,0,,,3,,N,,3000000-211-1976-00001,내국인,,서울특별시 종로구 자하문로 63 (옥인동),서울특별시 종로구 옥인동  19번지 33호  
3000000,211,1977,1,미용업(일반),19770609,보라,49.58,02 7643530,20151026,,20170925,창신제1동,,,일반미용업,20131231,0,,,3,,N,,3000000-211-1977-00001,내국인,,서울특별시 종로구 종로54길 9-21 1층 1호 (창신동),서울특별시 종로구 창신동  329번지 1호  
3000000,211,1978,1,미용업(일반),19780630,박,20,02 7353044,19970421,,19970421,청운효자동,,,일반미용업,20100511,0,,,2,,N,,3000000-211-1978-00001,내국인,,서울특별시 종로구 자하문로16길 8 (창성동),서울특별시 종로구 창성동  87번지 1호  
3000000,211,1978,2,미용업(일반),19780807,블랑드헤어,41.19,02 7337754,20160224,,20080501,종로1.2.3.4가동,,,일반미용업,,0,,,4,,N,,3000000-211-1978-00002,내국인,,서울특별시 종로구 삼봉로 81 2층 208호 (수송동 두산위브파빌리온),서울특별시 종로구 수송동  58번지  두산위브파빌리온-208
3000000,211,1978,3,미용업(일반),19780426,은혜,22.74,02  762 6707,20000420,,19970421,이화동,,,일반미용업,20100511,0,,,2,,N,,3000000-211-1978-00003,내국인,,서울특별시 종로구 낙산길 6 (동숭동),서울특별시 종로구 동숭동  31번지 20호  
3000000,211,1978,3,미용업(일반),19780426,은혜,22.74,02  762 6707,20180418,,19970421,이화동,,,일반미용업,,0,,,2,,N,,3000000-211-1978-00003,내국인,,서울특별시 종로구 낙산길 6 (동숭동),서울특별시 종로구 동숭동  31번지 20호  
3000000,211,1979,1,미용업(일반),19791019,성화,13,02 7432418,19970421,,19970421,창신제2동,,,일반미용업,20100511,0,,,2,,N,,3000000-211-1979-00001,내국인,,서울특별시 종로구 창신길 106 (창신동),서울특별시 종로구 창신동  595번지  
3000000,211,1981,1,미용업(일반),19810429,상희,13,02  745 4326,19970421,,20150506,종로1.2.3.4가동,,,일반미용업,20131231,0,,,2,,N,,3000000-211-1981-00001,내국인,,서울특별시 종로구 삼일대로30길 36 1층 (익선동),서울특별시 종로구 익선동  127번지 5호  
3000000,211,1981,2,미용업(일반),19810819,오샤레 헤어,69,02 9239690,19970421,,19970421,숭인제2동,20161028,연세때문에(종로세무서_사업자등록증폐업함2014-03-21),일반미용업,20100511,0,,,5,,N,,3000000-211-1981-00002,내국인,,서울특별시 종로구 숭인동길 35 (숭인동),서울특별시 종로구 숭인동  759번지  
3000000,211,1982,1,미용업(일반),19820219,귀빈,12.76,02 3793080,19970421,,19970421,부암동,,,일반미용업,20100511,0,,,2,,N,,3000000-211-1982-00001,내국인,,서울특별시 종로구 진흥로 484 (신영동),서울특별시 종로구 신영동  240번지  
3000000,211,1983,1,미용업(일반),19830322,우성,18.9,02 7654468,20120531,,20010825,종로1.2.3.4가동,,,일반미용업,,0,,,2,,N,,3000000-211-1983-00001,내국인,,서울특별시 종로구 수표로 118 1층 (낙원동),서울특별시 종로구 낙원동  146번지  
3000000,211,1983,2,미용업(일반),19830609,현,31,02 7423984,19970421,,20021205,종로5.6가동,20150902,기타,일반미용업,20100511,0,,,2,,N,,3000000-211-1983-00002,내국인,,서울특별시 종로구 김상옥로 73 (충신동),서울특별시 종로구 충신동  29번지 5호  
