시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3010000,211,1965,1,미용업(일반),19650826,월계미용실,13.2,222388451,19970605,,20131002,청구동,,,일반미용업,20100506,0,0,0,1,0,N,0,3010000-211-1965-00001,내국인,,서울특별시 중구 청구로 87-2 (신당동 1층),서울특별시 중구 신당동  403번지 20호  1층
3010000,211,1966,1,미용업(일반),19660331,경동,7,02  778 2829,19970603,,20020926,회현동,,,일반미용업,20100506,0,,,4,,N,,3010000-211-1966-00001,내국인,,서울특별시 중구 퇴계로12길 56 (회현동1가),서울특별시 중구 회현동1가  123번지 1호  
3010000,211,1972,1,미용업(일반),19720714,샤론,33,222934972,19970630,,20111223,신당제5동,20170403,영업 종료,일반미용업,,0,0,0,2,0,N,0,3010000-211-1972-00001,내국인,,서울특별시 중구 퇴계로88길 23-14 1층 (신당동),서울특별시 중구 신당동  153번지 7호  (1층)
3010000,211,1972,2,미용업(일반),19720519,럭키,30,222525620,20131011,,19970603,황학동,,,일반미용업,,0,,,3,,N,,3010000-211-1972-00002,내국인,,,서울특별시 중구 황학동  706번지 714호  
3010000,211,1972,2,미용업(일반),19720519,럭키,30,222525620,20180705,,19970603,황학동,,,일반미용업,,0,,,3,,N,,3010000-211-1972-00002,내국인,,,서울특별시 중구 황학동  706번지 714호  
3010000,211,1973,1,미용업(일반),19730510,선영,13.4,02  22630531,19970604,,19970604,을지로동,,,일반미용업,20100506,0,,,3,,N,,3010000-211-1973-00001,내국인,,서울특별시 중구 을지로27길 32-5 (주교동),서울특별시 중구 주교동  62번지 1호  
3010000,211,1974,1,미용업(일반),19740112,윤화미용실,13,02  22347210,19970603,,20090612,다산동,20160224,사망,일반미용업,20100506,0,,,2,,N,,3010000-211-1974-00001,내국인,,서울특별시 중구 동호로12길 96 (신당동),서울특별시 중구 신당동  337번지 55호  
3010000,211,1976,1,미용업(일반),19761012,멋미용실,28.32,222387048,19970603,,19970603,신당제5동,,,일반미용업,20100506,0,0,0,2,0,N,0,3010000-211-1976-00001,내국인,,서울특별시 중구 퇴계로90길 64 (신당동),서울특별시 중구 신당동  80번지 34호  
3010000,211,1977,1,미용업(일반),19771110,광희,11.76,222721173,19970603,,19970603,광희동,,,일반미용업,20100506,0,0,0,2,0,N,0,3010000-211-1977-00001,내국인,,,서울특별시 중구 광희동2가  11번지 2호  
3010000,211,1977,2,미용업(일반),19770530,현정,18.87,222348569,19970604,,19970604,신당동,,,일반미용업,20100506,0,0,0,2,0,N,0,3010000-211-1977-00002,내국인,,,서울특별시 중구 신당동  239번지 439호  
3010000,211,1977,3,미용업(일반),19770112,오창임,39,02 7776535,19970604,,19970604,소공동,,,일반미용업,20100607,0,0,0,4,0,N,0,3010000-211-1977-00003,내국인,,서울특별시 중구 서소문로11길 2-1 (서소문동),서울특별시 중구 서소문동  53번지 5호  
3010000,211,1978,1,미용업(일반),19780818,두리헤어샵,19.8,222381583,19970605,,19970605,약수동,20180525,사업부진,일반미용업,20100506,0,,,3,,N,,3010000-211-1978-00001,내국인,,서울특별시 중구 다산로 58-1 (신당동),서울특별시 중구 신당동  366번지 124호  
3010000,211,1978,2,미용업(일반),19781026,도미용실,49,02 7551425,20080304,,20050711,회현동,,,일반미용업,20100506,0,0,0,5,0,N,0,3010000-211-1978-00002,내국인,,서울특별시 중구 남대문시장길 45-10 (남창동3층),서울특별시 중구 남창동  3번지 1호  3층
3010000,211,1980,1,미용업(일반),19801205,이경자,31.18,02 7550785,19970603,,19970603,소공동,,,일반미용업,20100506,0,,,4,,N,,3010000-211-1980-00001,내국인,,서울특별시 중구 남대문시장길 31 (남대문로4가),서울특별시 중구 남대문로4가  3번지 5호  
3010000,211,1981,1,미용업(일반),19810929,리안미용실,80,02 7764440,19970602,,19970602,명동,,,일반미용업,20041019,0,,,16,,N,,3010000-211-1981-00001,내국인,,서울특별시 중구 명동4길 13 (명동2가),서울특별시 중구 명동2가  54번지 7호  
3010000,211,1981,2,미용업(일반),19810225,보리,24.93,02  778 5384,19970603,,19970603,명동,,,일반미용업,20100607,0,0,0,3,0,N,0,3010000-211-1981-00002,내국인,,서울특별시 중구 명동7길 23 (을지로2가),서울특별시 중구 을지로2가  199번지 57호  
3010000,211,1981,3,미용업(일반),19811112,기성,23,222310053,19970604,,20010602,청구동,,,일반미용업,20100506,0,,,2,,N,,3010000-211-1981-00003,내국인,,서울특별시 중구 다산로28길 28 (신당동),서울특별시 중구 신당동  321번지 66호  
3010000,211,1981,4,미용업(일반),19810407,모델,25.45,02  392 9055,19970603,,20140814,중림동,,,일반미용업,20100506,0,,,3,,N,,3010000-211-1981-00004,내국인,,서울특별시 중구 중림로 39 1층 (중림동),서울특별시 중구 중림동  142번지  1층
3010000,211,1982,1,미용업(일반),19820730,강,20,02  22342812,19970603,,19970603,신당동,,,일반미용업,20100506,0,0,0,3,0,N,0,3010000-211-1982-00001,내국인,,서울특별시 중구 퇴계로70길 3 (신당동),서울특별시 중구 신당동  233번지 14호  
