시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3060000,211,1981,1,미용업(일반),19810710,소연 미용실,13.53,02 4951220,20141216,,20010709,면목제7동,20150306,개인사정,일반미용업,,0,,,2,,N,,3060000-211-1981-00001,내국인,,서울특별시 중랑구 사가정로72길 14-13 (면목동),서울특별시 중랑구 면목동  520번지 99호  
3060000,211,1982,1,미용업(일반),19820128,성원,108.12,02 9572129,19820128,,20170113,중화제2동,,,일반미용업,,0,0,0,6,0,N,0,3060000-211-1982-00001,내국인,,서울특별시 중랑구 중랑역로 21 지층 (중화동),서울특별시 중랑구 중화동  320번지 27호  
3060000,211,1984,1,미용업(일반),19841220,S헤어,21.5,204338480,20120223,,20190123,면목제2동,,,일반미용업,20120329,0,0,0,3,0,N,0,3060000-211-1984-00001,내국인,,서울특별시 중랑구 봉우재로5길 3 1층 우측호 (면목동),서울특별시 중랑구 면목동  191번지 22호  
3060000,211,1984,1,미용업(일반),19841220,S헤어,33,204338480,20120223,,20190123,면목제2동,,,일반미용업,20120329,0,0,0,3,0,N,0,3060000-211-1984-00001,내국인,,서울특별시 중랑구 봉우재로5길 3 1층 우측호 (면목동),서울특별시 중랑구 면목동  191번지 22호  
3060000,211,1984,1,미용업(일반),19841220,S헤어,21.5,204338480,20120223,,20120224,면목제2동,,,일반미용업,20120329,0,0,0,3,0,N,0,3060000-211-1984-00001,내국인,,서울특별시 중랑구 봉우재로 33 (면목동),서울특별시 중랑구 면목동  182번지 80호  
3060000,211,1984,1,미용업(일반),19841220,S헤어,33,204338480,20120223,,20120224,면목제2동,,,일반미용업,20120329,0,0,0,3,0,N,0,3060000-211-1984-00001,내국인,,서울특별시 중랑구 봉우재로 33 (면목동),서울특별시 중랑구 면목동  182번지 80호  
3060000,211,1985,1,미용업(일반),19850222,모아미용실,20.83,204943710,19970305,,20140711,면목제3.8동,,,일반미용업,,0,0,0,2,0,N,0,3060000-211-1985-00001,내국인,,서울특별시 중랑구 면목로44길 23-3 (면목동),서울특별시 중랑구 면목동  462번지 35호  
3060000,211,1986,1,미용업(일반),19861004,마샬미용실,33.12,204956479,19970306,,20140121,상봉제1동,,,일반미용업,,0,,,4,,N,,3060000-211-1986-00001,내국인,,서울특별시 중랑구 상봉중앙로5다길 29 1층 (상봉동),서울특별시 중랑구 상봉동  190번지 61호  
3060000,211,1990,1,미용업(일반),19901229,이순희미용실,20.46,204926004,19970306,,20120201,망우본동,,,일반미용업,,0,,,4,,N,,3060000-211-1990-00001,내국인,,서울특별시 중랑구 망우로73길 39 (망우동),서울특별시 중랑구 망우동  344번지 13호  
3060000,211,1991,1,미용업(일반),19911122,러브김,15.22,204949550,20120724,,20120725,면목제3.8동,,,일반미용업,20120503,0,,,3,,N,,3060000-211-1991-00001,내국인,,서울특별시 중랑구 사가정로51길 27 (면목동),서울특별시 중랑구 면목동  596번지 3호  
3060000,211,1991,2,미용업(일반),19910517,머리공화국,33,204359303,20120814,,20120814,중화제2동,20150311,서울특별시 동작구로 전출처리됨,일반미용업,20121011,0,0,0,4,0,N,,3060000-211-1991-00002,내국인,,서울특별시 중랑구 봉화산로 17-1 (중화동),서울특별시 중랑구 중화동  311번지 43호  
3060000,211,1991,3,미용업(일반),19911121,h헤어(에이치헤어),16.4,204338745,19961007,,20111226,면목본동,,,일반미용업,,0,,,2,,N,,3060000-211-1991-00003,내국인,,서울특별시 중랑구 겸재로50길 39 (면목동),서울특별시 중랑구 면목동  72번지 51호  
3060000,211,1991,4,미용업(일반),19910511,정나라헤어샵,33,,20030930,,20151005,망우제3동,,,일반미용업,,0,,,3,,N,,3060000-211-1991-00004,내국인,,서울특별시 중랑구 용마공원로 28 (망우동),서울특별시 중랑구 망우동  418번지 2호  
3060000,211,1992,1,미용업(일반),19921113,정화,38,,19980507,,20160118,면목제4동,,,일반미용업,,0,,,4,,N,,3060000-211-1992-00001,내국인,,서울특별시 중랑구 용마산로 197 (면목동),서울특별시 중랑구 면목동  1341번지 8호  
3060000,211,1993,1,미용업(일반),19930223,헬로펌헤어살롱망우점,47.69,204343747,20050524,,20120309,망우제3동,,,일반미용업,,0,,,6,,,,3060000-211-1993-00001,내국인,,서울특별시 중랑구 용마공원로 8 (망우동),서울특별시 중랑구 망우동  409번지 1호  
3060000,211,1994,1,미용업(일반),19940427,SM헤어 & 메이크업,32.88,02 2090034,20160919,,20180306,상봉제1동,,,일반미용업,,0,0,0,3,0,N,0,3060000-211-1994-00001,내국인,,서울특별시 중랑구 망우로 353 비주거 C동 313호 (상봉동 상봉 프레미어스 엠코),서울특별시 중랑구 상봉동  500번지  상봉 프레미어스 엠코
