시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3130000,211,1982,1,미용업(일반),19820318,소울시저스,23.1,,20030902,,20120425,서교동,,,일반미용업,20050506,0,,,3,,N,,3130000-211-1982-00001,내국인,,서울특별시 마포구 어울마당로 96 (서교동),서울특별시 마포구 서교동  358번지 113호  501호
3130000,211,1985,1,미용업(일반),19851230,헤어센스,33,02 7036612,20131231,,20131231,대흥동,,,일반미용업,,0,,,4,,N,,3130000-211-1985-00001,내국인,,서울특별시 마포구 고산길 150 (대흥동 1층),서울특별시 마포구 대흥동  18번지 15호  
3130000,211,1993,1,미용업(일반),19930324,쟝피엘,33,02 3122326,20020201,,20151130,상암동,,,일반미용업,20050727,0,,,8,,N,,3130000-211-1993-00001,내국인,,서울특별시 마포구 월드컵북로 381 상가동 204호 (상암동),서울특별시 마포구 상암동  1655번지  
3130000,211,1994,1,미용업(일반),19940603,샬롬미용실,99,02 3636452,20011004,,20180531,서교동,,,일반미용업,20050629,0,0,0,3,0,N,0,3130000-211-1994-00001,내국인,,서울특별시 마포구 와우산로29라길 12 지1층 (서교동),서울특별시 마포구 서교동  333번지 10호  지1층
3130000,211,1994,1,미용업(일반),19940603,샬롬미용실,48,02 3636452,20011004,,20180531,서교동,,,일반미용업,20050629,0,0,0,3,0,N,0,3130000-211-1994-00001,내국인,,서울특별시 마포구 와우산로29라길 12 지1층 (서교동),서울특별시 마포구 서교동  333번지 10호  지1층
3130000,211,1994,1,미용업(일반),19940603,샬롬미용실,99,02 3636452,20011004,,20160615,서교동,,,일반미용업,20050629,0,0,0,3,0,N,0,3130000-211-1994-00001,내국인,,서울특별시 마포구 와우산로29길 27 2층 (서교동),서울특별시 마포구 서교동  335번지 4호  2층
3130000,211,1994,1,미용업(일반),19940603,샬롬미용실,48,02 3636452,20011004,,20160615,서교동,,,일반미용업,20050629,0,0,0,3,0,N,0,3130000-211-1994-00001,내국인,,서울특별시 마포구 와우산로29길 27 2층 (서교동),서울특별시 마포구 서교동  335번지 4호  2층
3130000,211,1994,2,미용업(일반),19941128,다경미용실,23.1,02  323 2779,19941128,,20111201,망원제2동,,,일반미용업,,0,0,0,3,0,N,,3130000-211-1994-00002,내국인,,서울특별시 마포구 망원로 23 (망원동),서울특별시 마포구 망원동  419번지 8호  (1층)
3130000,211,1995,1,미용업(일반),19951127,이지연 더 스타일,342.48,02 3361569,19951127,,20140304,서교동,,,일반미용업,,0,0,0,15,0,N,,3130000-211-1995-00001,내국인,,서울특별시 마포구 양화로10길 37 지112층 (서교동),서울특별시 마포구 서교동  395번지 206호  
3130000,211,2001,1,미용업(일반),20011019,보보헤어,89.97,02  711 0079,20011019,,20170424,도화동,,,일반미용업,,0,0,0,6,0,N,0,3130000-211-2001-00001,내국인,,서울특별시 마포구 도화4길 7 2층 (도화동),서울특별시 마포구 도화동  182번지 3호  2층
