시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3210000,211,1979,1,미용업(일반),19790110,장뜨아보떼 헤어,18.75,234736880,20010317,,20170824,서초제2동,,,일반미용업,20090507,0,0,0,2,0,N,0,3210000-211-1979-00001,내국인,,서울특별시 서초구 사임당로 138 1층 38호 (서초동 신동아 1차 상가),서울특별시 서초구 서초동  1333번지  상가-1층 38
3210000,211,1980,1,미용업(일반),19800204,호진헤어,34,02 5811638,20140521,,19970310,서초제2동,,,일반미용업,,0,0,0,6,0,N,0,3210000-211-1980-00001,내국인,,서울특별시 서초구 사임당로 151 3층 3호 (서초동 무지개쇼핑),서울특별시 서초구 서초동  1332번지 2호  3호 무지개쇼핑-3층 3
3210000,211,1981,1,미용업(일반),19810728,아리미용실,16.2,02 5358767,19970626,,20040601,잠원동,,,일반미용업,20090507,0,0,0,3,0,N,0,3210000-211-1981-00001,내국인,,서울특별시 서초구 잠원로14길 29 (잠원동1층),서울특별시 서초구 잠원동  50번지 2호  1층 (114호샵)
3210000,211,1981,2,미용업(일반),19810921,이화헤어,52,02  532 4637,19970314,,20151001,반포제4동,,,일반미용업,20090507,0,0,0,4,0,N,0,3210000-211-1981-00002,내국인,,서울특별시 서초구 서래로 38 202호 (반포동),서울특별시 서초구 반포동  91번지 10호  -202
3210000,211,1981,3,미용업(일반),19810516,소희헤어아트,17.5,02 5911161,19970310,,20170721,반포제3동,,,일반미용업,20090507,0,0,0,3,0,N,0,3210000-211-1981-00003,내국인,,서울특별시 서초구 신반포로23길 41 117호 (잠원동 잠원쇼핑),서울특별시 서초구 잠원동  73번지  잠원쇼핑(전부 입대)-117
3210000,211,1982,1,미용업(일반),19821209,고은 미용실,48.24,02 5843980,19970310,,20180111,방배제3동,,,일반미용업,20090507,0,0,0,3,0,N,0,3210000-211-1982-00001,내국인,,서울특별시 서초구 방배로 22 삼원빌딩 1층 112호 (방배동),서울특별시 서초구 방배동  1024번지 6호  삼원빌딩 1층-112
3210000,211,1985,1,미용업(일반),19850222,HAIR BY VAN LOENHOUT(헤어 바이 반 룬하우트),116.54,5995146,19970314,,20150122,반포제1동,,,일반미용업,20090507,0,0,0,8,0,N,0,3210000-211-1985-00001,내국인,,서울특별시 서초구 잠원로 24 1동 3층 309호 (반포동 반포자이주구중심상가),서울특별시 서초구 반포동  20번지 45호  반포자이주구중심상가 1동 3층 309호
3210000,211,1985,2,미용업(일반),19850415,정하영미용실,50,02 5930577,19850415,,19850415,반포본동,,,일반미용업,20090507,0,0,0,3,0,N,0,3210000-211-1985-00002,내국인,,서울특별시 서초구 신반포로 38 J동 209호 (반포동 상가),서울특별시 서초구 반포동  1048번지 J ~10501052번지 상가-209
3210000,211,1985,3,미용업(일반),19850321,혜원미용실,43.94,02 5936283,20160119,,19850321,반포제3동,,,일반미용업,20090507,0,0,0,4,0,N,0,3210000-211-1985-00003,내국인,,서울특별시 서초구 신반포로 189 4동 307호 (잠원동 반포쇼핑),서울특별시 서초구 잠원동  69번지 2호 4 외 5필지 반포쇼핑-307
3210000,211,1986,1,미용업(일반),19860313,스타미용실,10,,19970310,,20171211,서초제2동,,,일반미용업,20090507,0,0,0,1,0,N,0,3210000-211-1986-00001,내국인,,서울특별시 서초구 사임당로 143 폭스타운 5층 (서초동),서울특별시 서초구 서초동  1332번지 4호  5층
3210000,211,1986,2,미용업(일반),19860827,헤어스테이지,15.3,,20141008,,19970310,서초제1동,20180528,폐업,일반미용업,,0,0,0,3,0,N,0,3210000-211-1986-00002,내국인,,서울특별시 서초구 효령로67길 55 1층 (서초동),서울특별시 서초구 서초동  1610번지 18호  1층
3210000,211,1986,2,미용업(일반),19860827,한스헤어스테이지,15.3,,20141008,,19970310,서초제1동,20180528,폐업,일반미용업,,0,0,0,3,0,N,0,3210000-211-1986-00002,내국인,,서울특별시 서초구 효령로67길 55 1층 (서초동),서울특별시 서초구 서초동  1610번지 18호  1층
3210000,211,1986,3,미용업(일반),19860909,헤어마당 미용실,22,234819596,19970320,,20060829,서초제4동,,,일반미용업,20090507,0,,,4,,,,3210000-211-1986-00003,내국인,,서울특별시 서초구 서운로 184 1층 9호 (서초동 영동프라자),서울특별시 서초구 서초동  1310번지 5호  영동프라자-1층 9
3210000,211,1986,3,미용업(일반),19860909,헤어마당 미용실,22,234819596,20141208,,20060829,서초제4동,,,일반미용업,20090507,0,,,4,,,,3210000-211-1986-00003,내국인,,서울특별시 서초구 서운로 184 1층 9호 (서초동 영동프라자),서울특별시 서초구 서초동  1310번지 5호  영동프라자-1층 9
3210000,211,1986,4,미용업(일반),19861022,오즈헤어라인,50.44,5321334,20151027,,20151027,반포제4동,,,일반미용업,,0,,,3,,N,,3210000-211-1986-00004,내국인,,서울특별시 서초구 사평대로 지하 285 지하 1층 상가 6호 (반포동 사평역),서울특별시 서초구 반포동  128번지 7호  사평역 지하 1층 상가 6호
3210000,211,1987,1,미용업(일반),19870319,귀빈헤어클럽,22.44,02 5849138,20090622,,19980216,서초제1동,,,일반미용업,,0,,,3,,N,,3210000-211-1987-00001,내국인,,서울특별시 서초구 사임당로 105 (서초동),서울특별시 서초구 서초동  1647번지 2호  
3210000,211,1987,2,미용업(일반),19870115,민아미용실,66.9,02 5166903,20030714,,20130620,잠원동,20190617,충청북도 진천군로 전출처리됨,일반미용업,20090507,0,0,0,3,0,N,0,3210000-211-1987-00002,내국인,,서울특별시 서초구 강남대로97길 51 가호 내 102호 (잠원동),서울특별시 서초구 잠원동  24번지 6호  가호 내 102호
3210000,211,1987,3,미용업(일반),19870604,박찬희 미용실,16,02 5936452,19970317,,20140626,반포본동,,,일반미용업,20090507,0,,,2,,N,,3210000-211-1987-00003,내국인,,서울특별시 서초구 신반포로 27-6 1층 나열 4호 (반포동 한신상가),서울특별시 서초구 반포동  885번지  한신상가 1층 나열-4
3210000,211,1987,4,미용업(일반),19870908,신재화미용실,39,02532 9166,19970317,,20171102,반포제4동,,,일반미용업,20090422,0,0,0,4,0,N,0,3210000-211-1987-00004,내국인,,서울특별시 서초구 서래로10길 1 102호 (반포동),서울특별시 서초구 반포동  93번지 6호  -102
3210000,211,1988,1,미용업(일반),19880210,이화미용실,25.63,02  592 6480,19970310,,20130611,방배제4동,20180521,재건축 지역 (방배6지역),일반미용업,20090507,0,0,0,3,0,N,,3210000-211-1988-00001,내국인,,서울특별시 서초구 동광로14길 23-12 102호 (방배동),서울특별시 서초구 방배동  817번지 13호  -102
3210000,211,1988,2,미용업(일반),19880413,서초미용실,22.44,02 5861349,19991013,,20140729,서초제3동,,,일반미용업,20090507,0,,,3,,N,,3210000-211-1988-00002,내국인,,서울특별시 서초구 효령로46길 14 1층 (서초동),서울특별시 서초구 서초동  1481번지 2호  1층
3210000,211,1988,3,미용업(일반),19880617,미미미용실,14,02573 0534,20150609,,19970806,내곡동,20150728,중지,일반미용업,,0,0,0,3,0,N,0,3210000-211-1988-00003,내국인,,서울특별시 서초구 염곡말길 17-5 (염곡동),서울특별시 서초구 염곡동  106번지 19호  (1층 103호샵)
3210000,211,1989,1,미용업(일반),19890411,예지미용실,34.58,02  34743325,20040825,,20121116,서초제2동,,,일반미용업,20060523,0,0,0,3,0,N,0,3210000-211-1989-00001,내국인,,서울특별시 서초구 사임당로 178 1층 118호 (서초동 이즈타워),서울특별시 서초구 서초동  1337번지 14호  이즈타워 1층-118
3210000,211,1991,1,미용업(일반),19910406,에덴헤어샵 반포점,66,02 5331628,19910406,,20180319,반포제4동,,,일반미용업,20090507,0,0,0,5,0,N,0,3210000-211-1991-00001,내국인,,서울특별시 서초구 서래로10길 23 102호 (반포동),서울특별시 서초구 반포동  537번지 4호  -102
3210000,211,1991,1,미용업(일반),19910406,에덴헤어샵 반포점,49.5,02 5331628,19910406,,20180319,반포제4동,,,일반미용업,20090507,0,0,0,5,0,N,0,3210000-211-1991-00001,내국인,,서울특별시 서초구 서래로10길 23 102호 (반포동),서울특별시 서초구 반포동  537번지 4호  -102
3210000,211,1991,1,미용업(일반),19910406,에덴헤어샵 반포점,66,02 5331628,19910406,,19910406,반포제4동,,,일반미용업,20090507,0,0,0,5,0,N,0,3210000-211-1991-00001,내국인,,서울특별시 서초구 서래로 46 1층 (반포동),서울특별시 서초구 반포동  92번지 15호  1층
3210000,211,1991,1,미용업(일반),19910406,에덴헤어샵 반포점,49.5,02 5331628,19910406,,19910406,반포제4동,,,일반미용업,20090507,0,0,0,5,0,N,0,3210000-211-1991-00001,내국인,,서울특별시 서초구 서래로 46 1층 (반포동),서울특별시 서초구 반포동  92번지 15호  1층
3210000,211,1991,2,미용업(일반),19910122,안나미용실,29.1,02 5855409,19970310,,20140902,방배제1동,20160718,중지,일반미용업,20090507,0,0,0,1,0,N,0,3210000-211-1991-00002,내국인,,서울특별시 서초구 효령로33길 37 101호 (방배동),서울특별시 서초구 방배동  908번지 27호  -101
3210000,211,1991,3,미용업(일반),19910614,쉬즈미용실,16.5,02 5991987,19910614,,20160524,반포본동,,,일반미용업,20090507,0,,,3,,N,,3210000-211-1991-00003,내국인,,서울특별시 서초구 신반포로3길 19 3블럭 9호 (반포동 반포상가),서울특별시 서초구 반포동  816번지  -3블럭 9
3210000,211,1992,1,미용업(일반),19920826,진헤어아트,27.5,02591 9473,20151127,,19970319,반포제3동,,,일반미용업,,0,,,4,,N,,3210000-211-1992-00001,내국인,,서울특별시 서초구 신반포로33길 62 2층 203호 (잠원동 한신로얄상가),서울특별시 서초구 잠원동  63번지 34호  한신로얄상가 2층-203
