시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3120000,211,1963,1,미용업(일반),19631022,배화,33,02 3627156,19631022,,20120619,충현동,,,일반미용업,20050506,0,,,3,,N,,3120000-211-1963-00001,내국인,,서울특별시 서대문구 북아현로11가길 18 (북아현동 1층),서울특별시 서대문구 북아현동  180번지 22호  (1층)
3120000,211,1968,1,미용업(일반),19681026,이루다미용실,14.34,02 3634926,19681026,,20130710,충현동,20190110,행정처분,일반미용업,20050506,0,0,0,3,0,N,0,3120000-211-1968-00001,내국인,,서울특별시 서대문구 충정로 50 (충정로3가 1층 105호),서울특별시 서대문구 충정로3가  222번지  (1층 105호)
3120000,211,1968,2,미용업(일반),19680225,머리까끼,13.3,02 3737646,20070502,,19680225,홍제제3동,20150417,자진폐업,일반미용업,20070514,0,,,2,,N,,3120000-211-1968-00002,내국인,,서울특별시 서대문구 세무서길 68 (홍제동),서울특별시 서대문구 홍제동  268번지 64호  
3120000,211,1970,1,미용업(일반),19700613,희,14,02 3641829,19700613,,19700613,북아현동,20151217,건강악화,일반미용업,20050727,0,,,2,,N,,3120000-211-1970-00001,내국인,,서울특별시 서대문구 북아현로22나길 121 (북아현동),서울특별시 서대문구 북아현동  1번지 696호  
3120000,211,1971,1,미용업(일반),19710920,김희정,13.2,02 3246936,19710920,,20040305,연희동,,,일반미용업,20050629,0,,,2,,N,,3120000-211-1971-00001,내국인,,서울특별시 서대문구 증가로 16 (연희동),서울특별시 서대문구 연희동  92번지 20호  
3120000,211,1972,1,미용업(일반),19720519,대흥,11.55,02 3790926,19961129,,19720519,홍제제3동,20190218,영업주 사망,일반미용업,20050608,0,0,0,2,0,N,0,3120000-211-1972-00001,내국인,,서울특별시 서대문구 세무서7길 8 (홍제동778586),서울특별시 서대문구 홍제동  266번지 6호  778586
3120000,211,1973,1,미용업(일반),19730524,디니,12.46,02 3244969,20080807,,20020329,연희동,,,일반미용업,20080903,0,,,2,,N,,3120000-211-1973-00001,내국인,,서울특별시 서대문구 홍제천로2길 73 (연희동),서울특별시 서대문구 연희동  537번지 1호  
3120000,211,1973,2,미용업(일반),19730429,꽃집,11.02,02 7391996,19871022,,19730429,홍제제3동,20190108,개인사정,일반미용업,20050506,0,,,2,,N,,3120000-211-1973-00002,내국인,,서울특별시 서대문구 세무서2길 6 (홍제동),서울특별시 서대문구 홍제동  213번지 2호  
3120000,211,1973,3,미용업(일반),19730411,윤,19.92,02 3947821,19940310,,19730411,홍은제2동,,,일반미용업,20050506,0,,,3,,N,,3120000-211-1973-00003,내국인,,서울특별시 서대문구 모래내로 359 (홍은동),서울특별시 서대문구 홍은동  277번지 75호  
3120000,211,1973,4,미용업(일반),19730124,선녀,12.74,02 7397674,19801115,,19730124,홍제제1동,,,일반미용업,20050506,0,,,2,,N,,3120000-211-1973-00004,내국인,,서울특별시 서대문구 통일로29길 2 (홍제동),서울특별시 서대문구 홍제동  93번지 2호  
