시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3230000,211,1979,1,미용업(일반),20030227,태성,14.96,02 4068457,19970628,,19970628,마천2동,,,일반미용업,20060607,0,,,2,,N,,3230000-211-1979-00001,내국인,,서울특별시 송파구 마천로39길 15-1 (마천동),서울특별시 송파구 마천동  42번지 4호  
3230000,211,1979,2,미용업(일반),20030227,동,14.84,02  20431359,19970616,,19970616,마천1동,,,일반미용업,20060607,0,,,2,,N,,3230000-211-1979-00002,내국인,,서울특별시 송파구 마천로51가길 3 (마천동),서울특별시 송파구 마천동  190번지 45호  
3230000,211,1979,3,미용업(일반),20030227,윤희,15.75,02 4003467,19970616,,19970616,마천2동,,,일반미용업,20060607,0,,,3,,N,,3230000-211-1979-00003,내국인,,서울특별시 송파구 마천로43길 7 (마천동),서울특별시 송파구 마천동  124번지 9호  
3230000,211,1979,4,미용업(일반),20030227,현대,33.5,02412 5090,20070214,,19970610,잠실본동,,,일반미용업,,0,,,6,,N,,3230000-211-1979-00004,내국인,,서울특별시 송파구 석촌호수로 84 (잠실동),서울특별시 송파구 잠실동  209번지 2호  
3230000,211,1980,1,미용업(일반),20030227,영광,12.1,,19970710,,19970710,마천2동,,,일반미용업,20050527,0,,,2,,N,,3230000-211-1980-00001,내국인,,서울특별시 송파구 성내천로32길 18 (마천동),서울특별시 송파구 마천동  144번지 5호  
3230000,211,1980,2,미용업(일반),20030227,행복한 미용실,25.06,02  448 0074,20111108,,20130612,잠실본동,,,일반미용업,20111208,0,,,2,,N,,3230000-211-1980-00002,내국인,,서울특별시 송파구 백제고분로17길 35 지상1층 101호 (잠실동),서울특별시 송파구 잠실동  211번지 38호  지상1층-101
3230000,211,1980,3,미용업(일반),20030227,서울,14.72,02 4182763,19970618,,19970618,송파2동,,,일반미용업,20060607,0,,,3,,N,,3230000-211-1980-00003,내국인,,서울특별시 송파구 송파대로36길 7-38 (송파동),서울특별시 송파구 송파동  193번지 13호  
3230000,211,1981,1,미용업(일반),20030227,헤어로드,13.33,02 4138869,20141001,,19971114,잠실본동,,,일반미용업,,0,,,2,,N,,3230000-211-1981-00001,내국인,,서울특별시 송파구 올림픽로12길 28 (잠실동),서울특별시 송파구 잠실동  204번지 8호  
3230000,211,1981,2,미용업(일반),20030227,미용실 수,32.3,02 4820985,19980204,,19980204,풍납2동,20190306,기타,일반미용업,20060607,0,,,4,,N,,3230000-211-1981-00002,내국인,,서울특별시 송파구 토성로 52 (풍납동),서울특별시 송파구 풍납동  403번지 0호  
3230000,211,1982,1,미용업(일반),20030227,가람,11.38,02 4150581,19970715,,19970715,송파1동,20160614,부진,일반미용업,20111027,0,,,3,,N,,3230000-211-1982-00001,내국인,,서울특별시 송파구 가락로 140 (송파동),서울특별시 송파구 송파동  98번지 4호  
