시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,내외국인구분,국적,소재지도로명,소재지지번
3020000,211,1961,1,미용업(일반),19610726,카라헤어샵,42.3,02 7963027,20060913,,19970823,한남동,20111214,계약만료,일반미용업,20060524,0,,,4,,N,,3020000-211-1961-00001,내국인,,,서울특별시 용산구 한남동  682번지 10호  
3020000,211,1964,1,미용업(일반),19640226,로즈마리헤어,40.25,207540965,19970210,,19970210,후암동,,,일반미용업,,0,,,4,,N,,3020000-211-1964-00001,내국인,,서울특별시 용산구 후암로 40 (후암동),서울특별시 용산구 후암동  244번지 75호  
3020000,211,1966,1,미용업(일반),19660616,오즈미용실,13.2,207125497,20150901,,19970210,원효로제2동,20160601,영업안함,일반미용업,,0,0,0,2,0,N,,3020000-211-1966-00001,내국인,,서울특별시 용산구 원효로19길 10 (원효로4가),서울특별시 용산구 원효로4가  117번지 6호  
3020000,211,1966,2,미용업(일반),19661213,민들레,18.72,02 7166483,19980115,,20050502,용문동,,,일반미용업,,0,,,3,,N,,3020000-211-1966-00002,내국인,,서울특별시 용산구 새창로12길 10 (도원동),서울특별시 용산구 도원동  8번지 32호  
3020000,211,1966,3,미용업(일반),19661130,주은,16.69,02 7928169,19970210,,20081223,한강로동,20141110,계약만료,일반미용업,,0,,,2,,N,,3020000-211-1966-00003,내국인,,서울특별시 용산구 한강대로10길 11-46 (한강로3가1층),서울특별시 용산구 한강로3가  65번지 509호  1층
3020000,211,1967,1,미용업(일반),20030412,헤어준,29.25,02 7544104,19970218,,19970218,남영동,,,일반미용업,,0,,,4,,N,,3020000-211-1967-00001,내국인,,서울특별시 용산구 두텁바위로1길 19 (갈월동),서울특별시 용산구 갈월동  58번지 5호  
3020000,211,1968,1,미용업(일반),19680511,수향,14.23,207989590,19970218,,19970218,한강로동,20160405,행정처분,일반미용업,,0,0,0,2,0,N,,3020000-211-1968-00001,내국인,,,서울특별시 용산구 한강로2가  400번지 4호  
3020000,211,1969,1,미용업(일반),19690920,정현미용타운,19,02 7161043,19970117,,20040907,효창동,,,일반미용업,,0,,,3,,N,,3020000-211-1969-00001,내국인,,서울특별시 용산구 효창원로69길 8-7 (효창동(1층)),서울특별시 용산구 효창동  5번지 396호  (1층)
3020000,211,1970,1,미용업(일반),19700602,나리,13.5,02 7949979,20100413,,19970210,서빙고동,,,일반미용업,,0,0,0,2,0,N,,3020000-211-1970-00001,내국인,,서울특별시 용산구 장문로6길 101 (동빙고동),서울특별시 용산구 동빙고동  1번지 9호  
3020000,211,1970,2,미용업(일반),19701123,성궁,23.8,207947059,19980302,,20030522,한남동,,,일반미용업,,0,,,3,,N,,3020000-211-1970-00002,내국인,,서울특별시 용산구 우사단로10길 59 (한남동),서울특별시 용산구 한남동  754번지 24호  
3020000,211,1971,1,미용업(일반),19710922,김민자헤어월드,42.16,02 7192469,19970210,,20140210,원효로제2동,,,일반미용업,,0,,,4,,N,,3020000-211-1971-00001,내국인,,서울특별시 용산구 원효로 51 2층 212호 (산천동 삼성테마드),서울특별시 용산구 산천동  202번지  
3020000,211,1971,2,미용업(일반),19711223,리안헤어샵,11.66,207544094,20010531,,20030509,후암동,,,일반미용업,,0,,,7,,N,,3020000-211-1971-00002,내국인,,서울특별시 용산구 후암로 43 (후암동),서울특별시 용산구 후암동  105번지 66호  
3020000,211,1971,3,미용업(일반),19710513,선,11.44,207543265,19970210,,19970210,후암동,,,일반미용업,,0,,,3,,N,,3020000-211-1971-00003,내국인,,서울특별시 용산구 후암로4길 4 (후암동),서울특별시 용산구 후암동  254번지 3호  
